k_index,valley,delta_kx_inv_A,delta_ky_inv_A,E17_eV,E18_eV,E19_eV,min_gap18_eV,omega_z_A2
17,K,-0.09,0.09,-1.513421249426992,-1.3771241002426813,0.4986538771010572,0.1362971491843108,-4.066187043208215
18,K,-0.09,0.12,-1.549609133714321,-1.4167020093863059,0.5327381895859089,0.1329071243280151,-3.4929079996248356
19,K,-0.06,-0.12,-1.526202280430597,-1.3910192320368724,0.5095599502208117,0.13518304839372464,-3.864569268898672
20,K,-0.06,-0.09,-1.490917786180193,-1.3521016368150498,0.47422005498994624,0.1388161493651432,-4.533449681491405
21,K,-0.06,-0.06,-1.463854022901015,-1.3220573472522033,0.4467582874353668,0.14179667564881182,-5.154736625411024
22,K,-0.06,-0.03,-1.4467865744465158,-1.3030159493291869,0.42931022978353445,0.14377062511732897,-5.604351132569565
23,K,-0.06,0.0,-1.4409501402617906,-1.296486599442211,0.42331490384031656,0.14446354081957957,-5.769662185038802
24,K,-0.06,0.03,-1.446787078211146,-1.3030164922138483,0.42931067710618387,0.14377058599729775,-5.604325714745251
25,K,-0.06,0.06,-1.4638550147647948,-1.3220584083927465,0.446759135026352,0.14179660637204838,-5.154730342916503
26,K,-0.06,0.09,-1.490919185313587,-1.3521031230264522,0.4742212515775655,0.13881606228713483,-4.533435537321328
27,K,-0.06,0.12,-1.5262040316848342,-1.3910210785173018,0.5095613926777459,0.13518295316753237,-3.8645795565058867
28,K,-0.03,-0.12,-1.508276517354849,-1.371462397010113,0.4935969448512759,0.13681412034473595,-4.160354774654793
29,K,-0.03,-0.09,-1.4745831902915034,-1.3340075315077942,0.4578561777955719,0.14057565878370926,-4.8929917646467445
30,K,-0.03,-0.06,-1.448773540134471,-1.3051159945802664,0.43020199864866476,0.14365754555420462,-5.570670710728865
31,K,-0.03,-0.03,-1.4325139492841856,-1.28681641924548,0.4119965978139692,0.14569753003870556,-6.059856787891716
32,K,-0.03,0.0,-1.4269643913858965,-1.280550101084264,0.40523499025123466,0.14641429030163255,-6.239390734522012
33,K,-0.03,0.03,-1.4325144347650691,-1.286816946144338,0.4119970952498835,0.14569748862073117,-6.05979803804888
34,K,-0.03,0.06,-1.4487744701202958,-1.3051170002299033,0.43020287933764056,0.14365746989039252,-5.570674407768385
35,K,-0.03,0.09,-1.4745845357823826,-1.3340089721860267,0.4578574237265293,0.14057556359635592,-4.892967418561606
36,K,-0.03,0.12,-1.5082782035247313,-1.3714641854334633,0.4935984533498788,0.13681401809126803,-4.160312573441206
37,K,0.0,-0.12,-1.4974994300063118,-1.3599004796193164,0.48626164301331426,0.13759895038699543,-4.320713029186504
38,K,0.0,-0.09,-1.4661523321386047,-1.3248107006484142,0.4510136181994509,0.14134163149019052,-5.065692941924478
39,K,0.0,-0.06,-1.4421894875672352,-1.2977972613268063,0.423879521750565,0.1443922262404289,-5.747721031664712
40,K,0.0,-0.03,-1.427113832603252,-1.280710335832142,0.40530824409820393,0.14640349677110986,-6.236287304069154
41,K,0.0,0.0,-1.4219836018486975,-1.2748738807284172,0.3986764826392859,0.1471097211202803,-6.4148231737905546
42,K,0.0,0.03,-1.4271142655682987,-1.2807108111327867,0.40530875854931775,0.14640345443551195,-6.236217766959783
43,K,0.0,0.06,-1.4421903627046384,-1.2977982127463266,0.4238804112568338,0.14439214995831184,-5.747717217255499
44,K,0.0,0.09,-1.4661536013060716,-1.3248120670442083,0.4510148796068914,0.14134153426186336,-5.065719660736855
45,K,0.0,0.12,-1.4975010180625639,-1.3599021739058152,0.48626317694365173,0.1375988441567486,-4.320727060303571
46,K,0.03,-0.12,-1.4952584418926842,-1.3578525804113841,0.48845445407180293,0.13740586148130007,-4.302812767029497
47,K,0.03,-0.09,-1.466960676234231,-1.3259912610344242,0.4546096787568327,0.14096941519980688,-5.000144458847115
48,K,0.03,-0.06,-1.4454036211268244,-1.3015548375690336,0.42868528063595956,0.14384878355779085,-5.627989092828886
49,K,0.03,-0.03,-1.4318873104495644,-1.286151414616958,0.4117008884408849,0.1457358958326065,-6.071974459793064
50,K,0.03,0.0,-1.4272696831996696,-1.2808762669930012,0.4053856850580952,0.14639341620666846,-6.233115419625289
51,K,0.03,0.03,-1.4318876982758377,-1.286151843061878,0.4117013912939971,0.14573585521395982,-6.071879055563044
52,K,0.03,0.06,-1.445404420854128,-1.3015557101699862,0.42868615767583473,0.14384871068414173,-5.6279311451596685
53,K,0.03,0.09,-1.4669618397331745,-1.3259925184097638,0.45461092858727925,0.14096932132341067,-5.000090740635158
54,K,0.03,0.12,-1.4952599123271693,-1.3578541516013254,0.48845599688453517,0.13740576072584387,-4.3027889521671625
55,K,0.06,-0.12,-1.502402351750561,-1.366191544239853,0.5004462480027656,0.13621080751070802,-4.099950372720727
56,K,0.06,-0.09,-1.4777603512611854,-1.3383016374574233,0.4687884759118654,0.13945871380376218,-4.699262237413143
57,K,0.06,-0.06,-1.4590776553409646,-1.3170254334516152,0.44468530064991985,0.1420522218893494,-5.227009419815308
58,K,0.06,-0.03,-1.447398409939654,-1.3036625725623128,0.4295829702024677,0.1437358373773412,-5.594056451134538
59,K,0.06,0.0,-1.4434187881547866,-1.2990986229896593,0.42444281795964367,0.14432016516512736,-5.726024008439138
60,K,0.06,0.03,-1.4473987699284416,-1.3036629680576644,0.4295834037647251,0.14373580187077728,-5.5939824451019415
61,K,0.06,0.06,-1.459078364262424,-1.3170262081347635,0.4446861521604326,0.14205215612766064,-5.2270410329778585
62,K,0.06,0.09,-1.4777613984395412,-1.3383027663227425,0.4687896936948145,0.13945863211679876,-4.6993191406544526
63,K,0.06,0.12,-1.502403670482201,-1.3661929561213437,0.500447757367775,0.1362107143608573,-4.099898997142802
