k_index,q1,q2,q3,band,energy_eV
12,0.287903018400017,0.6177223046438888,0.0,9,-5.22631430809229
12,0.287903018400017,0.6177223046438888,0.0,10,-5.200315748374006
12,0.287903018400017,0.6177223046438888,0.0,11,-4.793283020113444
12,0.287903018400017,0.6177223046438888,0.0,12,-4.788148884124745
12,0.287903018400017,0.6177223046438888,0.0,13,-4.359412274330181
12,0.287903018400017,0.6177223046438888,0.0,14,-4.317579279144125
12,0.287903018400017,0.6177223046438888,0.0,15,-3.535667988957665
12,0.287903018400017,0.6177223046438888,0.0,16,-3.520408413664565
12,0.287903018400017,0.6177223046438888,0.0,17,-1.4856497807409967
12,0.287903018400017,0.6177223046438888,0.0,18,-1.3465771787899952
12,0.287903018400017,0.6177223046438888,0.0,19,0.4720577693255821
12,0.287903018400017,0.6177223046438888,0.0,20,0.4785874715453931
12,0.287903018400017,0.6177223046438888,0.0,21,1.5343303056990125
12,0.287903018400017,0.6177223046438888,0.0,22,1.5613404711915986
12,0.287903018400017,0.6177223046438888,0.0,23,1.918053310013676
12,0.287903018400017,0.6177223046438888,0.0,24,2.058144976163559
12,0.287903018400017,0.6177223046438888,0.0,25,3.344349708321203
12,0.287903018400017,0.6177223046438888,0.0,26,3.421777235530645
13,0.287903018400017,0.6308369069219486,0.0,1,-13.298496696682623
13,0.287903018400017,0.6308369069219486,0.0,2,-13.267829745600007
13,0.287903018400017,0.6308369069219486,0.0,3,-13.18339689858838
13,0.287903018400017,0.6308369069219486,0.0,4,-13.180023405544741
13,0.287903018400017,0.6308369069219486,0.0,5,-6.633727100844527
13,0.287903018400017,0.6308369069219486,0.0,6,-6.626425640395196
13,0.287903018400017,0.6308369069219486,0.0,7,-6.077463192224099
13,0.287903018400017,0.6308369069219486,0.0,8,-6.047015630000546
13,0.287903018400017,0.6308369069219486,0.0,9,-5.265732149316127
13,0.287903018400017,0.6308369069219486,0.0,10,-5.240762174210777
13,0.287903018400017,0.6308369069219486,0.0,11,-4.797512984697136
13,0.287903018400017,0.6308369069219486,0.0,12,-4.793196728320393
13,0.287903018400017,0.6308369069219486,0.0,13,-4.345086611213366
13,0.287903018400017,0.6308369069219486,0.0,14,-4.301675932469642
13,0.287903018400017,0.6308369069219486,0.0,15,-3.556808435861232
13,0.287903018400017,0.6308369069219486,0.0,16,-3.5396683150639467
13,0.287903018400017,0.6308369069219486,0.0,17,-1.4681360195869448
13,0.287903018400017,0.6308369069219486,0.0,18,-1.3272279341278792
13,0.287903018400017,0.6308369069219486,0.0,19,0.45511775055316983
13,0.287903018400017,0.6308369069219486,0.0,20,0.45992006511096883
13,0.287903018400017,0.6308369069219486,0.0,21,1.5301195980577433
13,0.287903018400017,0.6308369069219486,0.0,22,1.5582377333135295
13,0.287903018400017,0.6308369069219486,0.0,23,1.938923286274425
13,0.287903018400017,0.6308369069219486,0.0,24,2.080171495291555
13,0.287903018400017,0.6308369069219486,0.0,25,3.3534755605468725
13,0.287903018400017,0.6308369069219486,0.0,26,3.4318478378380197
14,0.287903018400017,0.6439515092000084,0.0,1,-13.295992074962008
14,0.287903018400017,0.6439515092000084,0.0,2,-13.26523540139626
14,0.287903018400017,0.6439515092000084,0.0,3,-13.181961307920385
