valley,delta_kx_inv_A,omega18_z_A2,E17_eV,E18_eV
K,-0.021000000000000005,-6.292020466302575,-1.4254701545247368,-1.27884723497751
K,-0.0204,-6.2955291150879455,-1.4253705387339928,-1.278733710570393
K,-0.019799999999999998,-6.299037763873317,-1.4252709229432488,-1.278620186163276
K,-0.01920000000000001,-6.302546412658687,-1.425171307152505,-1.2785066617561591
K,-0.018600000000000005,-6.3060550614440585,-1.425071691361761,-1.2783931373490423
K,-0.018000000000000002,-6.30956371022943,-1.424972075571017,-1.2782796129419252
K,-0.0174,-6.3130723590148,-1.4248724597802729,-1.2781660885348085
K,-0.01680000000000001,-6.3165810078001705,-1.4247728439895289,-1.2780525641276914
K,-0.016200000000000006,-6.320089656585542,-1.424673228198785,-1.2779390397205743
K,-0.015600000000000003,-6.323598305370913,-1.424573612408041,-1.2778255153134577
K,-0.015,-6.327106954156283,-1.424473996617297,-1.2777119909063406
K,-0.01440000000000001,-6.330615602941654,-1.4243743808265532,-1.2775984664992235
K,-0.013800000000000007,-6.334124251727025,-1.424274765035809,-1.2774849420921068
K,-0.013200000000000003,-6.337632900512396,-1.4241751492450652,-1.2773714176849897
K,-0.0126,-6.341141549297767,-1.4240755334543211,-1.2772578932778726
K,-0.01200000000000001,-6.344650198083137,-1.4239759176635771,-1.277144368870756
K,-0.011400000000000007,-6.348158846868508,-1.4238763018728333,-1.277030844463639
K,-0.010800000000000004,-6.35166749565388,-1.423776686082089,-1.276917320056522
K,-0.0102,-6.35517614443925,-1.4236770702913453,-1.2768037956494052
K,-0.009600000000000011,-6.358684793224621,-1.4235774545006012,-1.276690271242288
K,-0.009000000000000008,-6.362193442009992,-1.4234778387098572,-1.2765767468351712
K,-0.008400000000000005,-6.365702090795363,-1.4233782229191132,-1.2764632224280543
K,-0.007800000000000001,-6.369210739580733,-1.4232786071283694,-1.2763496980209375
K,-0.007200000000000012,-6.372719388366105,-1.4231789913376254,-1.2762361736138204
K,-0.006600000000000009,-6.376228037151476,-1.4230793755468814,-1.2761226492067035
K,-0.006000000000000005,-6.379736685936846,-1.4229797597561373,-1.2760091247995864
K,-0.005400000000000002,-6.383245334722217,-1.4228801439653933,-1.2758956003924697
K,-0.004799999999999999,-6.386753983507587,-1.4227805281746493,-1.2757820759853526
K,-0.004200000000000009,-6.390262632292958,-1.4226809123839053,-1.2756685515782358
K,-0.003600000000000006,-6.39377128107833,-1.4225812965931612,-1.275555027171119
