q1,q2,q3,kx_inv_A,ky_inv_A,kz_inv_A,omega_z_A2,flux_rad
-0.125,0.2916666666666667,0.0,-0.2476320055564882,0.8101656287186972,0.0,2.6828,0.08442842698304966
-0.125,0.375,0.0,-0.2476320055564882,1.0007928354760376,0.0,3.0337,0.0954713429769188
-0.125,0.45833333333333337,0.0,-0.2476320055564882,1.1914200422333783,0.0,3.3471,0.10533412403271415
-0.04166666666666674,-0.45833333333333337,0.0,-0.08254400185216289,-1.0007928354760376,0.0,1.0302,0.032420667018763144
-0.04166666666666674,-0.375,0.0,-0.08254400185216289,-0.810165628718697,0.0,0.9664,0.030412864110786936
-0.04166666666666674,-0.29166666666666674,0.0,-0.08254400185216289,-0.6195384219613568,0.0,1.2428,0.03911124536101614
-0.04166666666666674,-0.20833333333333337,0.0,-0.08254400185216289,-0.4289112152040161,0.0,1.2949,0.04075084616831333
-0.04166666666666674,-0.125,0.0,-0.08254400185216289,-0.23828400844667552,0.0,0.5461,0.017185911724855903
-0.04166666666666674,-0.04166666666666674,0.0,-0.08254400185216289,-0.04765680168933521,0.0,0.0,0.0
-0.04166666666666674,0.041666666666666664,0.0,-0.08254400185216289,0.14297040506800546,0.0,0.1397,0.004396396022637556
-0.04166666666666674,0.125,0.0,-0.08254400185216289,0.333597611825346,0.0,0.9928,0.03124367910719088
-0.04166666666666674,0.20833333333333331,0.0,-0.08254400185216289,0.5242248185826864,0.0,1.3962,0.04393878401436333
-0.04166666666666674,0.2916666666666667,0.0,-0.08254400185216289,0.714852025340027,0.0,1.1334,0.03566839836834221
-0.04166666666666674,0.375,0.0,-0.08254400185216289,0.9054792320973674,0.0,1.0225,0.03217834597814532
-0.04166666666666674,0.45833333333333337,0.0,-0.08254400185216289,1.0961064388547082,0.0,1.2478,0.03926859668609265
0.041666666666666664,-0.45833333333333337,0.0,0.08254400185216274,-1.096106438854708,0.0,-1.2478,-0.03926859668609265
0.041666666666666664,-0.375,0.0,0.08254400185216274,-0.9054792320973674,0.0,-1.0225,-0.03217834597814532
0.041666666666666664,-0.29166666666666674,0.0,0.08254400185216274,-0.7148520253400271,0.0,-1.1334,-0.03566839836834221
0.041666666666666664,-0.20833333333333337,0.0,0.08254400185216274,-0.5242248185826864,0.0,-1.3963,-0.04394193104086486
0.041666666666666664,-0.125,0.0,0.08254400185216274,-0.33359761182534586,0.0,-0.9928,-0.03124367910719088
0.041666666666666664,-0.04166666666666674,0.0,0.08254400185216274,-0.14297040506800554,0.0,-0.1398,-0.004399543049139087
0.041666666666666664,0.041666666666666664,0.0,0.08254400185216274,0.04765680168933512,0.0,0.0,0.0
0.041666666666666664,0.125,0.0,0.08254400185216274,0.23828400844667563,0.0,-0.546,-0.017182764698354374
0.041666666666666664,0.20833333333333331,0.0,0.08254400185216274,0.4289112152040161,0.0,-1.2949,-0.04075084616831333
0.041666666666666664,0.2916666666666667,0.0,0.08254400185216274,0.6195384219613567,0.0,-1.2428,-0.03911124536101614
0.041666666666666664,0.375,0.0,0.08254400185216274,0.810165628718697,0.0,-0.9664,-0.030412864110786936
0.041666666666666664,0.45833333333333337,0.0,0.08254400185216274,1.0007928354760378,0.0,-1.0301,-0.03241751999226161
0.125,-0.45833333333333337,0.0,0.2476320055564882,-1.1914200422333783,0.0,-3.3472,-0.10533727105921567
0.125,-0.375,0.0,0.2476320055564882,-1.0007928354760376,0.0,-3.0336,-0.09546819595041726
0.125,-0.29166666666666674,0.0,0.2476320055564882,-0.8101656287186974,0.0,-2.6828,-0.08442842698304966
0.125,-0.20833333333333337,0.0,0.2476320055564882,-0.6195384219613567,0.0,-3.3736,-0.10616808605561963
0.125,-0.125,0.0,0.2476320055564882,-0.4289112152040161,0.0,-3.1074,-0.09779070150854649
