# schema=VASPBERRY_Z2_FIELD
# schema_version=2
# vaspberry_version=1.3.0
# result_status=PASS
# result_kind=FUKUI_HATSUGAI_NFIELD_Z2
# reportable_invariant=1
# z2_invariant=1
# half_top_z2_parity=1
# half_bottom_z2_parity=1
# half_bz_parity_consistent=1
# nkx=12
# nky=12
# band_min=1
# band_max=10
# band_rank=10
# spinor_components=2
# index_base=1
# plaquette_orientation=POSITIVE_B1_CROSS_B2
# nfield_definition=[(sum_link_arg)-wrap(sum_link_arg)]/(2*pi)
# overlap_backend=WAVECAR_PSEUDO_NO_PAW_AUGMENTATION
# input_trs_assumed=1
# input_trs_independently_verified=0
# check_scope=NUMERICAL_SELF_CONSISTENCY_OF_TR_RECONSTRUCTION
# check_scope_excludes=RAW_INPUT_TRS,KRAMERS_ENERGY,DIRECT_GAP,PAW_AUGMENTATION,MESH_CONVERGENCE
# physical_tr_rule=wrap[berry_flux(-k)+berry_flux(k)]=0
# nfield_note=gauge_and_log_branch_dependent
# threshold_policy=CONSERVATIVE_DIAGNOSTIC_MAY_FALSE_REJECT
# threshold_partner_fractional= 9.9999999999999995E-008
# threshold_min_link_singular= 9.9999999999999995E-007
# threshold_flux_tr_odd_rad= 1.0000000000000001E-005
# threshold_nfield_integer= 1.0000000000000000E-010
# threshold_total_chern= 1.0000000000000000E-004
# threshold_phase_margin_fraction_pi= 8.0000000000000004E-001
# threshold_max_abs_flux_rad= 2.5132741228718345E+000
# total_chern= 6.0253841465503288E-015
# minimum_link_singular_value= 7.9868060136430363E-001
# max_flux_tr_odd_residual_rad= 2.2204460492503131E-014
# max_nfield_integer_residual= 0.0000000000000000E+000
# max_nfield_pair_residual= 0.0000000000000000E+000
# max_abs_flux_rad= 1.1987545345260031E-008
# half_top_nfield_sum=-3
# half_bottom_nfield_sum=3
# numerical_self_consistency_checks_pass=1
cell_id,q1,q2,q3,kx_A-1,ky_A-1,kz_A-1,half_bz,tr_partner,berry_flux_rad,berry_curvature_A2,min_link_singular_value,nfield_raw,nfield_int,nfield_integer_residual,nfield_tr_pair_residual,flux_tr_odd_residual_rad,pair_nfield_int_sum,plaquette_checks_pass
24, 4.1666666666666637E-002, 8.7500000000000000E-001, 0.0000000000000000E+000, 5.9651130193526962E-002, 1.4120234390626276E+000, 0.0000000000000000E+000,-1,3, 1.8191328443606380E-009, 1.1068727669740069E-007, 9.8294056347619618E-001, 0.0000000000000000E+000,0, 0.0000000000000000E+000, 0.0000000000000000E+000,-9.2148511043887993E-015,0,1
25, 1.2500000000000006E-001, 9.5833333333333337E-001, 0.0000000000000000E+000, 1.7895339058058110E-001, 1.4809026312120241E+000, 0.0000000000000000E+000,-1,134,-1.1987545345260031E-008,-7.2939629047255369E-007, 9.8294056537149155E-001, 0.0000000000000000E+000,0, 0.0000000000000000E+000, 0.0000000000000000E+000,-9.2148511043887993E-015,0,1
26, 1.2500000000000006E-001, 4.1666666666666637E-002, 0.0000000000000000E+000, 1.7895339058058110E-001,-3.4439596074698320E-002, 0.0000000000000000E+000,1,133,-6.3977898534517408E-009,-3.8928104561254673E-007, 8.2783988453373125E-001, 0.0000000000000000E+000,0, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.7208456881689926E-014,0,1
27, 1.2500000000000006E-001, 1.2500000000000006E-001, 0.0000000000000000E+000, 1.7895339058058110E-001, 1.0331878822409474E-001, 0.0000000000000000E+000,1,144,-4.2308518681669020E-009,-2.5743115619579511E-007, 9.8294163239105548E-001, 1.0000000000000000E+000,1, 0.0000000000000000E+000, 0.0000000000000000E+000,-5.3290705182007514E-015,0,1
28, 1.2500000000000006E-001, 2.0833333333333334E-001, 0.0000000000000000E+000, 1.7895339058058110E-001, 2.4107717252288757E-001, 0.0000000000000000E+000,1,143,-9.2160901132842810E-010,-5.6076383844073082E-008, 9.8657372440841962E-001, 0.0000000000000000E+000,0, 0.0000000000000000E+000, 0.0000000000000000E+000, 9.7699626167013776E-015,0,1
29, 1.2500000000000006E-001, 2.9166666666666663E-001, 0.0000000000000000E+000, 1.7895339058058110E-001, 3.7883555682168046E-001, 0.0000000000000000E+000,1,142,-2.5761830675516458E-009,-1.5675088760297111E-007, 1.0801058191266439E+000,-1.0000000000000000E+000,-1, 0.0000000000000000E+000, 0.0000000000000000E+000,-1.7763568394002505E-015,0,1
30, 1.2500000000000006E-001, 3.7500000000000000E-001, 0.0000000000000000E+000, 1.7895339058058110E-001, 5.1659394112047341E-001, 0.0000000000000000E+000,1,141, 1.6804369562528620E-009, 1.0224816231860842E-007, 1.0868953900876195E+000, 0.0000000000000000E+000,0, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.8302694349567901E-015,0,1
31, 1.2500000000000006E-001, 4.5833333333333337E-001, 0.0000000000000000E+000, 1.7895339058058110E-001, 6.5435232541926647E-001, 0.0000000000000000E+000,1,140,-2.7826696502586401E-009,-1.6931480649720814E-007, 1.0889147412882800E+000, 0.0000000000000000E+000,0, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.9968028886505635E-015,0,1
32, 1.2500000000000006E-001, 5.4166666666666674E-001, 0.0000000000000000E+000, 1.7895339058058110E-001, 7.9211070971805952E-001, 0.0000000000000000E+000,-1,139, 8.3012643493946521E-010, 5.0510018926223916E-008, 1.0924835824629060E+000, 1.0000000000000000E+000,1, 0.0000000000000000E+000, 0.0000000000000000E+000,-7.1054273576010019E-015,0,1
33, 1.2500000000000006E-001, 6.2499999999999989E-001, 0.0000000000000000E+000, 1.7895339058058110E-001, 9.2986909401685214E-001, 0.0000000000000000E+000,-1,138,-1.4522227864688375E-010,-8.8362202843213403E-009, 1.0947471070401880E+000, 0.0000000000000000E+000,0, 0.0000000000000000E+000, 0.0000000000000000E+000,-8.4376949871511897E-015,0,1
34, 1.2500000000000006E-001, 7.0833333333333337E-001, 0.0000000000000000E+000, 1.7895339058058110E-001, 1.0676274783156452E+000, 0.0000000000000000E+000,-1,137, 1.3195444736879836E-010, 8.0289234910142947E-009, 1.0961469662445169E+000, 0.0000000000000000E+000,0, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.9968028886505635E-015,0,1
35, 1.2500000000000006E-001, 7.9166666666666674E-001, 0.0000000000000000E+000, 1.7895339058058110E-001, 1.2053858626144383E+000, 0.0000000000000000E+000,-1,136,-1.2100027646511080E-009,-7.3624040833933382E-008, 1.0958537849162355E+000, 0.0000000000000000E+000,0, 0.0000000000000000E+000, 0.0000000000000000E+000,-6.2172489379008766E-015,0,1
36, 1.2500000000000006E-001, 8.7500000000000000E-001, 0.0000000000000000E+000, 1.7895339058058110E-001, 1.3431442469132311E+000, 0.0000000000000000E+000,-1,135, 2.2731099225126172E-009, 1.3831004576534446E-007, 1.0928349307010352E+000, 0.0000000000000000E+000,0, 0.0000000000000000E+000, 0.0000000000000000E+000, 9.9920072216264089E-015,0,1
37, 2.0833333333333334E-001, 9.5833333333333337E-001, 0.0000000000000000E+000, 2.9825565096763507E-001, 1.4120234390626276E+000, 0.0000000000000000E+000,-1,122,-2.0252040044965725E-009,-1.2322591871688291E-007, 1.0094639451128087E+000, 0.0000000000000000E+000,0, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.3877787807814457E-015,0,1
38, 2.0833333333333334E-001, 4.1666666666666637E-002, 0.0000000000000000E+000, 2.9825565096763507E-001,-1.0331878822409474E-001, 0.0000000000000000E+000,1,121, 4.4712116002845696E-009, 2.7205612669110386E-007, 9.8657423487005613E-001,-1.0000000000000000E+000,-1, 0.0000000000000000E+000, 0.0000000000000000E+000,-8.8817841970012523E-015,0,1
39, 2.0833333333333334E-001, 1.2500000000000006E-001, 0.0000000000000000E+000, 2.9825565096763507E-001, 3.4439596074698320E-002, 0.0000000000000000E+000,1,132,-2.1940013139598591E-009,-1.3349658946875220E-007, 9.8657372298392154E-001, 0.0000000000000000E+000,0, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.3314683517128287E-015,0,1
