k_index,kx_fractional,ky_fractional,kz_fractional,weight,spin,current,electric_field,omega_spin_A2
9,0.0,0.4444444444444444,0.0,0.0030864197530864196,x,z,z,-0.19497276876286856
9,0.0,0.4444444444444444,0.0,0.0030864197530864196,y,x,x,1.6603332480905092e-06
9,0.0,0.4444444444444444,0.0,0.0030864197530864196,y,x,y,-2.9904327688276884
9,0.0,0.4444444444444444,0.0,0.0030864197530864196,y,x,z,0.684065393099724
9,0.0,0.4444444444444444,0.0,0.0030864197530864196,y,y,x,2.378992562280577
9,0.0,0.4444444444444444,0.0,0.0030864197530864196,y,y,y,4.6646274131623123e-07
9,0.0,0.4444444444444444,0.0,0.0030864197530864196,y,y,z,7.68328130363257e-07
9,0.0,0.4444444444444444,0.0,0.0030864197530864196,y,z,x,-0.6571855062177107
9,0.0,0.4444444444444444,0.0,0.0030864197530864196,y,z,y,-1.5344795066963723e-06
9,0.0,0.4444444444444444,0.0,0.0030864197530864196,y,z,z,-2.482775191458456e-07
9,0.0,0.4444444444444444,0.0,0.0030864197530864196,z,x,x,7.96962931781147e-07
9,0.0,0.4444444444444444,0.0,0.0030864197530864196,z,x,y,0.5936411307496666
9,0.0,0.4444444444444444,0.0,0.0030864197530864196,z,x,z,-1.1942856767873504
9,0.0,0.4444444444444444,0.0,0.0030864197530864196,z,y,x,-1.7109793636263475
9,0.0,0.4444444444444444,0.0,0.0030864197530864196,z,y,y,4.557349932329069e-07
9,0.0,0.4444444444444444,0.0,0.0030864197530864196,z,y,z,2.1294528101363395e-06
9,0.0,0.4444444444444444,0.0,0.0030864197530864196,z,z,x,1.638533282120668
9,0.0,0.4444444444444444,0.0,0.0030864197530864196,z,z,y,-3.5091263220559444e-06
9,0.0,0.4444444444444444,0.0,0.0030864197530864196,z,z,z,2.810565129997635e-07
10,0.0,0.5,0.0,0.0030864197530864196,x,x,x,1.2055769110012922
10,0.0,0.5,0.0,0.0030864197530864196,x,x,y,5.11757543102569e-06
10,0.0,0.5,0.0,0.0030864197530864196,x,x,z,-2.231423540828421e-06
10,0.0,0.5,0.0,0.0030864197530864196,x,y,x,-7.575911269790896e-06
10,0.0,0.5,0.0,0.0030864197530864196,x,y,y,-0.028251498318393433
10,0.0,0.5,0.0,0.0030864197530864196,x,y,z,0.20375911892376167
10,0.0,0.5,0.0,0.0030864197530864196,x,z,x,1.0676860325311753e-06
10,0.0,0.5,0.0,0.0030864197530864196,x,z,y,-0.6510331450642091
10,0.0,0.5,0.0,0.0030864197530864196,x,z,z,-0.2035392709806343
10,0.0,0.5,0.0,0.0030864197530864196,y,x,x,1.1172434924210782e-06
10,0.0,0.5,0.0,0.0030864197530864196,y,x,y,-3.261152483705639
10,0.0,0.5,0.0,0.0030864197530864196,y,x,z,0.5868499443450729
10,0.0,0.5,0.0,0.0030864197530864196,y,y,x,2.659281781247977
10,0.0,0.5,0.0,0.0030864197530864196,y,y,y,4.939423557870196e-07
10,0.0,0.5,0.0,0.0030864197530864196,y,y,z,7.68236324486704e-07
10,0.0,0.5,0.0,0.0030864197530864196,y,z,x,-0.5226553614403933
10,0.0,0.5,0.0,0.0030864197530864196,y,z,y,-1.4492796788286725e-06
10,0.0,0.5,0.0,0.0030864197530864196,y,z,z,-2.2348292334176218e-07
10,0.0,0.5,0.0,0.0030864197530864196,z,x,x,3.84667492370094e-07
10,0.0,0.5,0.0,0.0030864197530864196,z,x,y,0.9130315721082125
10,0.0,0.5,0.0,0.0030864197530864196,z,x,z,-1.1565830217433193
10,0.0,0.5,0.0,0.0030864197530864196,z,y,x,-1.9323447054675567
10,0.0,0.5,0.0,0.0030864197530864196,z,y,y,4.119209606021117e-07
10,0.0,0.5,0.0,0.0030864197530864196,z,y,z,1.8987718580469677e-06
10,0.0,0.5,0.0,0.0030864197530864196,z,z,x,1.615075868611703
10,0.0,0.5,0.0,0.0030864197530864196,z,z,y,-3.183639544089223e-06
10,0.0,0.5,0.0,0.0030864197530864196,z,z,z,3.060714410760504e-07
11,0.0,-0.4444444444444444,0.0,0.0030864197530864196,x,x,x,1.3883682815733485
11,0.0,-0.4444444444444444,0.0,0.0030864197530864196,x,x,y,5.51264515295486e-06
11,0.0,-0.4444444444444444,0.0,0.0030864197530864196,x,x,z,-2.412591069006828e-06
11,0.0,-0.4444444444444444,0.0,0.0030864197530864196,x,y,x,-8.861024847883315e-06
11,0.0,-0.4444444444444444,0.0,0.0030864197530864196,x,y,y,-0.06685865185091133
11,0.0,-0.4444444444444444,0.0,0.0030864197530864196,x,y,z,0.19735605924135582
11,0.0,-0.4444444444444444,0.0,0.0030864197530864196,x,z,x,9.868689585612043e-07
11,0.0,-0.4444444444444444,0.0,0.0030864197530864196,x,z,y,-0.7003481828313166
11,0.0,-0.4444444444444444,0.0,0.0030864197530864196,x,z,z,-0.19497279553489086
11,0.0,-0.4444444444444444,0.0,0.0030864197530864196,y,x,x,1.6884293686369294e-06
11,0.0,-0.4444444444444444,0.0,0.0030864197530864196,y,x,y,-2.990432498482859
11,0.0,-0.4444444444444444,0.0,0.0030864197530864196,y,x,z,0.6840656533114475
11,0.0,-0.4444444444444444,0.0,0.0030864197530864196,y,y,x,2.378992313356105
11,0.0,-0.4444444444444444,0.0,0.0030864197530864196,y,y,y,4.671293181321244e-07
11,0.0,-0.4444444444444444,0.0,0.0030864197530864196,y,y,z,7.755315340338422e-07
11,0.0,-0.4444444444444444,0.0,0.0030864197530864196,y,z,x,-0.6571857118079187
11,0.0,-0.4444444444444444,0.0,0.0030864197530864196,y,z,y,-1.5469897640949866e-06
11,0.0,-0.4444444444444444,0.0,0.0030864197530864196,y,z,z,-2.449174003875434e-07
11,0.0,-0.4444444444444444,0.0,0.0030864197530864196,z,x,x,8.016870125506199e-07
11,0.0,-0.4444444444444444,0.0,0.0030864197530864196,z,x,y,0.5936410066222826
11,0.0,-0.4444444444444444,0.0,0.0030864197530864196,z,x,z,-1.1942859234090708
11,0.0,-0.4444444444444444,0.0,0.0030864197530864196,z,y,x,-1.7109792327509834
11,0.0,-0.4444444444444444,0.0,0.0030864197530864196,z,y,y,4.4930107303474027e-07
11,0.0,-0.4444444444444444,0.0,0.0030864197530864196,z,y,z,2.131369403609184e-06
11,0.0,-0.4444444444444444,0.0,0.0030864197530864196,z,z,x,1.6385335645879187
11,0.0,-0.4444444444444444,0.0,0.0030864197530864196,z,z,y,-3.513108729776798e-06
11,0.0,-0.4444444444444444,0.0,0.0030864197530864196,z,z,z,2.792442340792602e-07
12,0.0,-0.3888888888888888,0.0,0.0030864197530864196,x,x,x,1.836710553463954
12,0.0,-0.3888888888888888,0.0,0.0030864197530864196,x,x,y,6.272120636618957e-06
12,0.0,-0.3888888888888888,0.0,0.0030864197530864196,x,x,z,-2.928310839016298e-06
12,0.0,-0.3888888888888888,0.0,0.0030864197530864196,x,y,x,-1.1185547181384815e-05
12,0.0,-0.3888888888888888,0.0,0.0030864197530864196,x,y,y,-0.21627921179985996
12,0.0,-0.3888888888888888,0.0,0.0030864197530864196,x,y,z,0.18737490308546204
12,0.0,-0.3888888888888888,0.0,0.0030864197530864196,x,z,x,9.619080975302402e-07
12,0.0,-0.3888888888888888,0.0,0.0030864197530864196,x,z,y,-0.825561662306663
12,0.0,-0.3888888888888888,0.0,0.0030864197530864196,x,z,z,-0.1439294691450215
12,0.0,-0.3888888888888888,0.0,0.0030864197530864196,y,x,x,2.8509535419541685e-06
