# schema=VASPBERRY_BARE_MOMENTUM_KUBO_V2
# vaspberry_version=1.3.0
# normalization=STANDARD_MINUS_TWO_IM
# operator=WAVECAR_BARE_MOMENTUM_NO_PAW_NONLOCAL_VELOCITY
# berry_connection=A_i=i<u|d/dk_i u>
# occupation_weighting=NONE
# degeneracy_policy=SKIP_ABS_GAP_LE_MACHINE_EPSILON_eV
# migration=PRE_1.3_KUBO_CURVATURE_AND_CHERN_DIVIDE_BY_2
# index_base=1
# intermediate_bands=1:26
spin,k_index,band,kx_frac,ky_frac,kz_frac,energy_eV,omega_z_A2,min_gap_eV
1,32,17,-9.72222222222222932E-002,-1.94444444444444503E-001, 0.00000000000000000E+000,-1.77270919186497267E+000, 1.62497165533440541E-001, 1.00712530655897581E-002
1,33,17,-1.11111111111111105E-001,-2.22222222222222210E-001, 0.00000000000000000E+000,-1.86862184042796953E+000,-3.13097661714416164E-001, 1.80179548193839523E-002
1,34,17,-1.25000000000000000E-001,-2.50000000000000000E-001, 0.00000000000000000E+000,-1.97353616533689635E+000,-1.40202389002084438E+000, 2.95745748529796515E-002
1,35,17,-1.38888888888888895E-001,-2.77777777777777790E-001, 0.00000000000000000E+000,-2.07317173232148999E+000,-3.06503476493865312E+000, 4.47686774736002491E-002
1,36,17,-1.52777777777777790E-001,-3.05555555555555525E-001, 0.00000000000000000E+000,-2.14864774729832630E+000,-4.16677501170435427E+000, 6.18596285126078449E-002
1,37,17,-1.66666666666666713E-001,-3.33333333333333315E-001, 0.00000000000000000E+000,-2.18539651844658245E+000,-3.29071016965741991E+000, 7.69817887901300679E-002
1,38,17,-1.80555555555555608E-001,-3.61111111111111216E-001, 0.00000000000000000E+000,-2.18364330377788640E+000,-1.19608977039847186E+000, 8.73370136506919081E-002
1,39,17,-1.94444444444444392E-001,-3.88888888888888784E-001, 0.00000000000000000E+000,-2.15462402571696909E+000, 4.78032426008613287E-001, 9.37732759627047940E-002
1,40,17,-2.08333333333333287E-001,-4.16666666666666685E-001, 0.00000000000000000E+000,-2.10781369269480789E+000, 1.29250092364355629E+000, 9.82915119121123837E-002
1,41,17,-2.22222222222222210E-001,-4.44444444444444475E-001, 0.00000000000000000E+000,-2.04638087554459069E+000, 1.54316821011644567E+000, 1.02172506815233044E-001
1,42,17,-2.36111111111111105E-001,-4.72222222222222210E-001, 0.00000000000000000E+000,-1.97028319269837771E+000, 1.55926500669702839E+000, 1.06129775687923811E-001
1,43,17,-2.50000000000000000E-001,-5.00000000000000000E-001, 0.00000000000000000E+000,-1.88013906936563036E+000, 1.56238692443474125E+000, 1.10666079344795998E-001
