# schema=VASPBERRY_BARE_MOMENTUM_KUBO_V2
# vaspberry_version=1.3.0
# normalization=STANDARD_MINUS_TWO_IM
# operator=WAVECAR_BARE_MOMENTUM_NO_PAW_NONLOCAL_VELOCITY
# berry_connection=A_i=i<u|d/dk_i u>
# occupation_weighting=NONE
# degeneracy_policy=SKIP_ABS_GAP_LE_MACHINE_EPSILON_eV
# migration=PRE_1.3_KUBO_CURVATURE_AND_CHERN_DIVIDE_BY_2
# index_base=1
# intermediate_bands=1:26
spin,k_index,band,kx_frac,ky_frac,kz_frac,energy_eV,omega_z_A2,min_gap_eV
1,100,17, 2.50000000000000000E-001,-3.33333333333333093E-001, 0.00000000000000000E+000,-1.59051234801832742E+000,-2.57978216063910937E+000, 1.27873034676472042E-001
1,101,17, 3.33333333333333037E-001,-3.33333333333333093E-001, 0.00000000000000000E+000,-1.42198360178351013E+000,-5.25006310869039083E+000, 1.47109721111053915E-001
1,102,17, 4.16666666666666963E-001,-3.33333333333333037E-001, 0.00000000000000000E+000,-1.59051031732610193E+000,-2.57978398339658854E+000, 1.27873129229707949E-001
1,103,17, 5.00000000000000000E-001,-3.33333333333333148E-001, 0.00000000000000000E+000,-1.85811562129834451E+000,-1.33699197939382297E+000, 1.06859841287500146E-001
1,104,17,-4.16666666666666963E-001,-3.33333333333333037E-001, 0.00000000000000000E+000,-2.10268210708838810E+000,-1.48634992899926960E-001, 8.77655225307689690E-002
1,105,17,-3.33333333333333037E-001,-3.33333333333333037E-001, 0.00000000000000000E+000,-2.35152169192564919E+000, 3.04606047583792925E+008, 2.15813056314573259E-009
1,106,17,-2.50000000000000000E-001,-3.33333333333333037E-001, 0.00000000000000000E+000,-2.24312206314476548E+000,-7.43774444755488773E+000, 7.04891067435995389E-002
1,107,17,-1.66666666666666075E-001,-3.33333333333333093E-001, 0.00000000000000000E+000,-2.18539651846236627E+000,-3.29044597978715680E+000, 7.69817887960240199E-002
1,108,17,-8.33333333333330373E-002,-3.33333333333333093E-001, 0.00000000000000000E+000,-2.24312127820245610E+000,-7.43762693342114645E+000, 7.04894151275516911E-002
1,109,17, 0.00000000000000000E+000,-2.50000000000000056E-001, 0.00000000000000000E+000,-2.14626915014307063E+000, 3.58143422548450507E+000, 3.76097014864740231E-007
1,110,17, 8.33333333333330373E-002,-2.50000000000000056E-001, 0.00000000000000000E+000,-2.24312132007642262E+000, 7.43795659708704004E+000, 7.04888609378873099E-002
1,111,17, 1.66666666666666963E-001,-2.50000000000000111E-001, 0.00000000000000000E+000,-2.10325256106242264E+000,-1.11674778348503212E+000, 9.71039640103024126E-002
1,112,17, 2.50000000000000000E-001,-2.50000000000000000E-001, 0.00000000000000000E+000,-1.88014153962815467E+000,-1.56238015278943343E+000, 1.10666054278820258E-001
1,113,17, 3.33333333333333037E-001,-2.50000000000000111E-001, 0.00000000000000000E+000,-1.59051234845268108E+000,-2.57975203013938614E+000, 1.27873035222271003E-001
1,114,17, 4.16666666666666963E-001,-2.50000000000000056E-001, 0.00000000000000000E+000,-1.59051087182006023E+000,-2.57976843719456683E+000, 1.27873084447427399E-001
1,115,17, 5.00000000000000000E-001,-2.50000000000000111E-001, 0.00000000000000000E+000,-1.88013907277810532E+000,-1.56239405430324596E+000, 1.10666086079228343E-001
1,116,17,-4.16666666666666963E-001,-2.50000000000000000E-001, 0.00000000000000000E+000,-2.10325105474346952E+000,-1.11678326453009324E+000, 9.71039554467916233E-002
1,117,17,-3.33333333333333037E-001,-2.50000000000000000E-001, 0.00000000000000000E+000,-2.24312206579342233E+000, 7.43780385082974682E+000, 7.04891120666637505E-002
1,118,17,-2.50000000000000000E-001,-2.50000000000000000E-001, 0.00000000000000000E+000,-2.14627040440476202E+000,-5.45188166434963822E+008, 2.58030574684653402E-009
1,119,17,-1.66666666666666075E-001,-2.50000000000000056E-001, 0.00000000000000000E+000,-1.99741074882919722E+000,-1.55942969587127722E+000, 2.76720740117619712E-002
