# k_index	kx_frac	ky_frac	kz_frac	source_k_weight	initial_first	initial_last	final_first	final_last	transition_eV	transition_min_eV	transition_max_eV	I_plus_A2	I_minus_A2	eta	eta_valid
19	0.1666666666666667	0.5833333333333333	0.0	0.02	17	17	19	19	2.45955105622146	2.45955105622146	2.45955105622146	0.0987763338182823	3.1023936617789922	-0.9382873549645072	True
19	0.1666666666666667	0.5833333333333333	0.0	0.02	17	17	20	20	2.5039194327273435	2.5039194327273435	2.5039194327273435	1.3105414123514539e-15	8.337376891077072e-15	nan	False
19	0.1666666666666667	0.5833333333333333	0.0	0.02	18	18	19	19	2.3470481949997555	2.3470481949997555	2.3470481949997555	5.05177263059775e-16	1.671621612306041e-14	nan	False
19	0.1666666666666667	0.5833333333333333	0.0	0.02	18	18	20	20	2.391416571505639	2.391416571505639	2.391416571505639	0.10973300211535571	3.1811701838293267	-0.9333113155172592	True
20	0.1944444444444444	0.5972222222222222	0.0	0.02	1	1	19	19	14.090309007593326	14.090309007593326	14.090309007593326	0.030692113983572095	0.013624634498270474	0.3851248133038122	True
20	0.1944444444444444	0.5972222222222222	0.0	0.02	1	1	20	20	14.1256979671414	14.1256979671414	14.1256979671414	7.436105099607143e-17	9.45756738066658e-17	nan	False
20	0.1944444444444444	0.5972222222222222	0.0	0.02	2	2	19	19	14.065810695462122	14.065810695462122	14.065810695462122	2.241232321428768e-16	6.988222354283969e-17	nan	False
20	0.1944444444444444	0.5972222222222222	0.0	0.02	2	2	20	20	14.101199655010197	14.101199655010197	14.101199655010197	0.029174825781520232	0.015020599860284782	0.3202645005832185	True
20	0.1944444444444444	0.5972222222222222	0.0	0.02	3	3	19	19	13.948129558333326	13.948129558333326	13.948129558333326	1.0970463664911293e-16	2.655254017304727e-16	nan	False
20	0.1944444444444444	0.5972222222222222	0.0	0.02	3	3	20	20	13.9835185178814	13.9835185178814	13.9835185178814	1.9154611014774326e-08	3.311524126063783e-05	nan	False
20	0.1944444444444444	0.5972222222222222	0.0	0.02	4	4	19	19	13.945354225448598	13.945354225448598	13.945354225448598	5.1243350888968696e-05	4.3450141632703584e-05	nan	False
20	0.1944444444444444	0.5972222222222222	0.0	0.02	4	4	20	20	13.980743184996673	13.980743184996673	13.980743184996673	3.496515376370218e-17	9.631060438505543e-18	nan	False
20	0.1944444444444444	0.5972222222222222	0.0	0.02	5	5	19	19	7.274424376985925	7.274424376985925	7.274424376985925	3.705340041118371e-16	5.33134533560887e-16	nan	False
20	0.1944444444444444	0.5972222222222222	0.0	0.02	5	5	20	20	7.309813336534	7.309813336534	7.309813336534	0.00029282244211243513	0.021303720359865393	-0.972882470606766	True
20	0.1944444444444444	0.5972222222222222	0.0	0.02	6	6	19	19	7.252956861167627	7.252956861167627	7.252956861167627	0.00023706192126997426	0.022578887596746068	-0.9792196313300234	True
20	0.1944444444444444	0.5972222222222222	0.0	0.02	6	6	20	20	7.288345820715702	7.288345820715702	7.288345820715702	2.7165045810246254e-16	1.480159244098446e-15	nan	False
20	0.1944444444444444	0.5972222222222222	0.0	0.02	7	7	19	19	7.153898399830979	7.153898399830979	7.153898399830979	3.013982458448967e-17	1.936891902837027e-15	nan	False
20	0.1944444444444444	0.5972222222222222	0.0	0.02	7	7	20	20	7.189287359379054	7.189287359379054	7.189287359379054	5.781354996773695e-05	0.0003178690914840247	nan	False
20	0.1944444444444444	0.5972222222222222	0.0	0.02	8	8	19	19	7.146967648958059	7.146967648958059	7.146967648958059	0.00016351915446343398	0.00027466261578378644	nan	False
20	0.1944444444444444	0.5972222222222222	0.0	0.02	8	8	20	20	7.182356608506134	7.182356608506134	7.182356608506134	6.745828023168183e-16	6.449156648020105e-16	nan	False
20	0.1944444444444444	0.5972222222222222	0.0	0.02	9	9	19	19	5.936511075062986	5.936511075062986	5.936511075062986	0.11536410175725605	0.008615154383638246	0.8610226476298957	True
20	0.1944444444444444	0.5972222222222222	0.0	0.02	9	9	20	20	5.971900034611061	5.971900034611061	5.971900034611061	2.390067371738649e-16	1.3909989061091896e-16	nan	False
