k_index,kx_frac,ky_frac,kz_frac,source_k_weight,photon_eV,I_plus_A2_per_eV,I_minus_A2_per_eV,eta,eta_valid
1,0.0,0.0,0.0,0.02,1.9000000000000001,1.0694272296844306e-97,1.0853945314303593e-97,nan,False
1,0.0,0.0,0.0,0.02,1.91,5.9322075826337586e-96,6.020779619946995e-96,nan,False
1,0.0,0.0,0.0,0.02,1.92,3.1616199414554716e-94,3.208825153937355e-94,nan,False
1,0.0,0.0,0.0,0.02,1.93,1.6189416843956903e-92,1.6431136239781865e-92,nan,False
1,0.0,0.0,0.0,0.02,1.94,7.964911770102194e-91,8.08383351258527e-91,nan,False
1,0.0,0.0,0.0,0.02,1.95,3.7649477550748455e-89,3.8211610767430026e-89,nan,False
1,0.0,0.0,0.0,0.02,1.96,1.7098781373408935e-87,1.7354078222131827e-87,nan,False
1,0.0,0.0,0.0,0.02,1.97,7.461043731643e-86,7.572442369433314e-86,nan,False
1,0.0,0.0,0.0,0.02,1.98,3.1279675025470752e-84,3.1746702604143554e-84,nan,False
1,0.0,0.0,0.0,0.02,1.99,1.2599493881207981e-82,1.2787613198785668e-82,nan,False
1,0.0,0.0,0.0,0.02,2.0,4.876095336261214e-81,4.948898873907224e-81,nan,False
1,0.0,0.0,0.0,0.02,2.01,1.8130905623030957e-79,1.8401612813734637e-79,nan,False
1,0.0,0.0,0.0,0.02,2.02,6.477315136567989e-78,6.574026013585374e-78,nan,False
1,0.0,0.0,0.0,0.02,2.0300000000000002,2.2233036321335914e-76,2.2564991212531008e-76,nan,False
1,0.0,0.0,0.0,0.02,2.04,7.332139997862916e-75,7.441614012119892e-75,nan,False
1,0.0,0.0,0.0,0.02,2.05,2.3232232247209664e-73,2.3579105837320284e-73,nan,False
1,0.0,0.0,0.0,0.02,2.06,7.072604177606661e-72,7.178203139273913e-72,nan,False
1,0.0,0.0,0.0,0.02,2.0700000000000003,2.0686927222311237e-70,2.0995797615720038e-70,nan,False
1,0.0,0.0,0.0,0.02,2.08,5.813542351903531e-69,5.900342633745028e-69,nan,False
1,0.0,0.0,0.0,0.02,2.09,1.5696900865553227e-67,1.5931266650937407e-67,nan,False
1,0.0,0.0,0.0,0.02,2.1,4.072069774737284e-66,4.1328686444676657e-66,nan,False
1,0.0,0.0,0.0,0.02,2.1100000000000003,1.014950185467302e-64,1.030104106574421e-64,nan,False
1,0.0,0.0,0.0,0.02,2.12,2.430538273393116e-63,2.46682792166376e-63,nan,False
