k_index,kx_frac,ky_frac,kz_frac,source_k_weight,initial_first,initial_last,final_first,final_last,transition_eV,transition_min_eV,transition_max_eV,I_plus_A2,I_minus_A2,eta,eta_valid
2,0.0,0.0416666666666667,0.0,0.02,15,16,37,38,5.194094737469964,5.194094061306726,5.194095413633201,0.00659353527512028,0.006593753033390075,-1.651274050441342e-05,True
2,0.0,0.0416666666666667,0.0,0.02,15,16,39,40,5.212929721901106,5.21292921682568,5.21293022697653,0.0023396775148593367,0.0023395368409883945,3.0063566283590417e-05,True
2,0.0,0.0416666666666667,0.0,0.02,17,18,37,38,5.176776270744585,5.1767756470401345,5.176776894449036,0.018976138604450223,0.018977059110499083,-2.4253715214567177e-05,True
2,0.0,0.0416666666666667,0.0,0.02,17,18,39,40,5.195611255175727,5.19561080255909,5.195611707792365,0.05558149692607581,0.05558183211604036,-3.0152926099228584e-06,True
2,0.0,0.0416666666666667,0.0,0.02,19,20,37,38,5.0815100377768765,5.081509465365462,5.081510610188291,0.003923034339568993,0.00392315349561466,-1.5186489052981509e-05,True
2,0.0,0.0416666666666667,0.0,0.02,19,20,39,40,5.100345022208018,5.1003446208844165,5.1003454235316195,0.0039013117697408355,0.003901226758307724,1.08953557621961e-05,True
2,0.0,0.0416666666666667,0.0,0.02,21,22,37,38,5.077010813148338,5.077010242818622,5.077011383478054,0.0022149041342142146,0.0022149699889069813,-1.4866041547992223e-05,True
2,0.0,0.0416666666666667,0.0,0.02,21,22,39,40,5.09584579757948,5.095845398337577,5.095846196821383,0.004502935472564595,0.004503030735494571,-1.0577757874713941e-05,True
2,0.0,0.0416666666666667,0.0,0.02,23,24,37,38,4.334306803139577,4.33430623708428,4.334307369194874,0.01875486666636572,0.018757694159673977,-7.537457443569168e-05,True
2,0.0,0.0416666666666667,0.0,0.02,23,24,39,40,4.353141787570719,4.353141392603234,4.353142182538202,0.45243897320309456,0.45245185411238775,-1.4234766122453327e-05,True
2,0.0,0.0416666666666667,0.0,0.02,25,26,37,38,4.100743593258315,4.1007428148143195,4.10074437170231,0.08089583682898749,0.08088745831683244,5.178848747945289e-05,True
