k_index,kx_frac,ky_frac,kz_frac,source_k_weight,initial_first,initial_last,final_first,final_last,transition_eV,transition_min_eV,transition_max_eV,I_plus_A2,I_minus_A2,eta,eta_valid
14,0.0277777777777778,0.5138888888888888,0.0,0.02,15,16,40,40,7.066179503946316,7.065361240269048,7.066997767623583,0.001054218796266916,0.0011460324681036903,nan,False
14,0.0277777777777778,0.5138888888888888,0.0,0.02,17,18,37,37,6.3388296312993155,6.337988335780187,6.339670926818442,0.01540964589246762,0.04624777408273999,-0.5001527505152235,True
14,0.0277777777777778,0.5138888888888888,0.0,0.02,17,18,38,38,6.354151254656093,6.353309959136965,6.35499255017522,0.0206541204882189,0.044784305339376995,-0.36874641383843015,True
14,0.0277777777777778,0.5138888888888888,0.0,0.02,17,18,39,39,6.401650162004274,6.400808866485146,6.402491457523402,0.012363880372488128,0.03491075673876121,-0.47693388556774124,True
14,0.0277777777777778,0.5138888888888888,0.0,0.02,17,18,40,40,6.41803891468003,6.417197619160902,6.418880210199157,0.02045888234633334,0.03075269396865482,-0.20100556091082036,True
14,0.0277777777777778,0.5138888888888888,0.0,0.02,19,20,37,37,6.134169648044452,6.1334691897711195,6.134870106317784,0.014240494679458966,0.04251022446303883,-0.49813870574214564,True
14,0.0277777777777778,0.5138888888888888,0.0,0.02,19,20,38,38,6.14949127140123,6.148790813127897,6.150191729674562,0.02298055416114416,0.036380239943341545,-0.22573292666219255,True
14,0.0277777777777778,0.5138888888888888,0.0,0.02,19,20,39,39,6.196990178749411,6.196289720476079,6.197690637022744,0.01669140072691201,0.048354013852115824,-0.4867770207957531,True
14,0.0277777777777778,0.5138888888888888,0.0,0.02,19,20,40,40,6.213378931425167,6.2126784731518345,6.214079389698499,0.02185758554573928,0.04610261941656947,-0.35675339537714273,True
14,0.0277777777777778,0.5138888888888888,0.0,0.02,21,21,37,37,5.282382464464176,5.282382464464176,5.282382464464176,0.00020701401950849412,1.0282386496902753e-05,nan,False
14,0.0277777777777778,0.5138888888888888,0.0,0.02,21,21,38,38,5.297704087820954,5.297704087820954,5.297704087820954,1.0137411141593203e-05,2.8772951284649206e-05,nan,False
14,0.0277777777777778,0.5138888888888888,0.0,0.02,21,21,39,39,5.345202995169135,5.345202995169135,5.345202995169135,1.4782222248771262e-05,1.4872897146286598e-05,nan,False
14,0.0277777777777778,0.5138888888888888,0.0,0.02,21,21,40,40,5.361591747844891,5.361591747844891,5.361591747844891,9.434515533782333e-07,0.0005569126178124748,nan,False
14,0.0277777777777778,0.5138888888888888,0.0,0.02,22,22,37,37,5.279690710547921,5.279690710547921,5.279690710547921,1.5174557234053887e-05,0.0001744026450732742,nan,False
14,0.0277777777777778,0.5138888888888888,0.0,0.02,22,22,38,38,5.295012333904699,5.295012333904699,5.295012333904699,9.280152835953198e-05,3.4145189393328534e-05,nan,False
14,0.0277777777777778,0.5138888888888888,0.0,0.02,22,22,39,39,5.34251124125288,5.34251124125288,5.34251124125288,1.635132671454405e-05,0.0001490276552179705,nan,False
14,0.0277777777777778,0.5138888888888888,0.0,0.02,22,22,40,40,5.3588999939286355,5.3588999939286355,5.3588999939286355,8.25456229403667e-05,9.862014058477813e-05,nan,False
14,0.0277777777777778,0.5138888888888888,0.0,0.02,23,24,37,37,5.205389171016707,5.204682461781179,5.206095880252237,0.00011091571514396949,0.0007553512976570397,nan,False
14,0.0277777777777778,0.5138888888888888,0.0,0.02,23,24,38,38,5.220710794373485,5.2200040851379566,5.221417503609015,9.343371829473798e-05,3.672741231400618e-05,nan,False
14,0.0277777777777778,0.5138888888888888,0.0,0.02,23,24,39,39,5.268209701721666,5.267502992486137,5.268916410957195,0.00041740193021606083,0.0003043164556934476,nan,False
14,0.0277777777777778,0.5138888888888888,0.0,0.02,23,24,40,40,5.284598454397422,5.283891745161893,5.285305163632951,0.0001982729027095033,0.0002477580907849259,nan,False
14,0.0277777777777778,0.5138888888888888,0.0,0.02,25,25,37,37,4.358315328640046,4.358315328640046,4.358315328640046,2.2846178007860596e-05,0.0004863103564934082,nan,False
14,0.0277777777777778,0.5138888888888888,0.0,0.02,25,25,38,38,4.373636951996824,4.373636951996824,4.373636951996824,8.830142553780826e-06,6.800429793214507e-05,nan,False
14,0.0277777777777778,0.5138888888888888,0.0,0.02,25,25,39,39,4.4211358593450045,4.4211358593450045,4.4211358593450045,0.00017926518001060824,5.19472292354747e-05,nan,False
14,0.0277777777777778,0.5138888888888888,0.0,0.02,25,25,40,40,4.43752461202076,4.43752461202076,4.43752461202076,0.001208191404941502,0.00011782738077582071,nan,False
14,0.0277777777777778,0.5138888888888888,0.0,0.02,26,26,37,37,4.352421444698388,4.352421444698388,4.352421444698388,7.76535096353066e-06,0.00011176888943478184,nan,False
14,0.0277777777777778,0.5138888888888888,0.0,0.02,26,26,38,38,4.367743068055166,4.367743068055166,4.367743068055166,0.0014134913433182246,8.458329953738478e-05,nan,False
