# k_index	kx_frac	ky_frac	kz_frac	source_k_weight	photon_eV	I_plus_A2_per_eV	I_minus_A2_per_eV	eta	eta_valid
1	0.0	0.0	0.0	0.02	1.4100000000000001	5.635594223092788e-73	5.635592913486509e-73	nan	False
1	0.0	0.0	0.0	0.02	1.42	2.1557035675704456e-71	2.1557030666254136e-71	nan	False
1	0.0	0.0	0.0	0.02	1.4300000000000002	7.922579144397959e-70	7.922577303339326e-70	nan	False
1	0.0	0.0	0.0	0.02	1.44	2.7975145436185075e-68	2.797513893528656e-68	nan	False
1	0.0	0.0	0.0	0.02	1.4500000000000002	9.490876897318355e-67	9.490874691816773e-67	nan	False
1	0.0	0.0	0.0	0.02	1.46	3.093631266905226e-65	3.093630548003408e-65	nan	False
1	0.0	0.0	0.0	0.02	1.47	9.688554291471077e-64	9.68855204003298e-64	nan	False
1	0.0	0.0	0.0	0.02	1.48	2.9152622354937798e-62	2.9152615580415754e-62	nan	False
1	0.0	0.0	0.0	0.02	1.49	8.427999419809927e-61	8.427997461301111e-61	nan	False
1	0.0	0.0	0.0	0.02	1.5	2.3409901589932306e-59	2.340989614991074e-59	nan	False
1	0.0	0.0	0.0	0.02	1.51	6.2474515923553184e-58	6.247450140564875e-58	nan	False
1	0.0	0.0	0.0	0.02	1.52	1.6018964250423036e-56	1.6018960527916528e-56	nan	False
1	0.0	0.0	0.0	0.02	1.53	3.946337145164927e-55	3.9463362281102745e-55	nan	False
1	0.0	0.0	0.0	0.02	1.54	9.340758832077596e-54	9.340756661460634e-54	nan	False
1	0.0	0.0	0.0	0.02	1.55	2.1242144257663913e-52	2.1242139321388446e-52	nan	False
1	0.0	0.0	0.0	0.02	1.56	4.6413334329376597e-51	4.6413323543789195e-51	nan	False
1	0.0	0.0	0.0	0.02	1.57	9.74350932897403e-50	9.743507064765414e-50	nan	False
1	0.0	0.0	0.0	0.02	1.58	1.9652430185948306e-48	1.9652425619092544e-48	nan	False
1	0.0	0.0	0.0	0.02	1.59	3.808424406810505e-47	3.8084235218041836e-47	nan	False
1	0.0	0.0	0.0	0.02	1.6	7.090920855391389e-46	7.090919207594528e-46	nan	False
1	0.0	0.0	0.0	0.02	1.61	1.2684932400789537e-44	1.2684929453049434e-44	nan	False
1	0.0	0.0	0.0	0.02	1.62	2.180227920627988e-43	2.1802274139839583e-43	nan	False
1	0.0	0.0	0.0	0.02	1.6300000000000001	3.600342836708862e-42	3.600342000056792e-42	nan	False
1	0.0	0.0	0.0	0.02	1.6400000000000001	5.712339872865273e-41	5.712338545424753e-41	nan	False
1	0.0	0.0	0.0	0.02	1.6500000000000001	8.707880119478352e-40	8.707878095930529e-40	nan	False
1	0.0	0.0	0.0	0.02	1.66	1.2753784214130263e-38	1.275378125039031e-38	nan	False
1	0.0	0.0	0.0	0.02	1.67	1.7947084552414038e-37	1.794708038184862e-37	nan	False
1	0.0	0.0	0.0	0.02	1.68	2.42648144129459e-36	2.4264808774258725e-36	nan	False
1	0.0	0.0	0.0	0.02	1.69	3.15201488866062e-35	3.152014156191558e-35	nan	False
1	0.0	0.0	0.0	0.02	1.7	3.933940324551649e-34	3.933939410377807e-34	nan	False
1	0.0	0.0	0.0	0.02	1.71	4.717321724538085e-33	4.717320628321127e-33	nan	False
1	0.0	0.0	0.0	0.02	1.72	5.434898612412755e-32	5.434897349444423e-32	nan	False
1	0.0	0.0	0.0	0.02	1.73	6.01610792942586e-31	6.016106531395419e-31	nan	False
1	0.0	0.0	0.0	0.02	1.74	6.39835029848419e-30	6.398348811627832e-30	nan	False
1	0.0	0.0	0.0	0.02	1.75	6.538055911744374e-29	6.538054392423092e-29	nan	False
1	0.0	0.0	0.0	0.02	1.76	6.418853599461133e-28	6.418852107840276e-28	nan	False
1	0.0	0.0	0.0	0.02	1.77	6.0547265622829416e-27	6.0547251552784186e-27	nan	False
1	0.0	0.0	0.0	0.02	1.78	5.48731414710351e-26	5.487312871955026e-26	nan	False
1	0.0	0.0	0.0	0.02	1.79	4.778079154519361e-25	4.778078044183815e-25	nan	False
1	0.0	0.0	0.0	0.02	1.8	3.997376770763299e-24	3.997375841848362e-24	nan	False
1	0.0	0.0	0.0	0.02	1.81	3.213106047756051e-23	3.213105301090926e-23	nan	False
1	0.0	0.0	0.0	0.02	1.82	2.4814370870342055e-22	2.4814365103952166e-22	nan	False
1	0.0	0.0	0.0	0.02	1.83	1.841237096962979e-21	1.8412366690944394e-21	nan	False
1	0.0	0.0	0.0	0.02	1.84	1.312636293367568e-20	1.3126359883359062e-20	nan	False
1	0.0	0.0	0.0	0.02	1.85	8.990986612341128e-20	8.990984523007969e-20	nan	False
1	0.0	0.0	0.0	0.02	1.86	5.916958935862995e-19	5.916957560875711e-19	nan	False
1	0.0	0.0	0.0	0.02	1.87	3.7412612322128085e-18	3.741260362816344e-18	nan	False
1	0.0	0.0	0.0	0.02	1.8800000000000001	2.2728239832119748e-17	2.2728234550522792e-17	nan	False
1	0.0	0.0	0.0	0.02	1.8900000000000001	1.3266057860135668e-16	1.326605477736772e-16	nan	False
1	0.0	0.0	0.0	0.02	1.9000000000000001	7.439543962641569e-16	7.4395422338422e-16	nan	False
1	0.0	0.0	0.0	0.02	1.91	4.008474497225135e-15	4.008473565738721e-15	nan	False
