k_index,q1,q2,q3,path_inv_A,band,energy_eV
9,0.2222222222222222,0.4444444444444445,0.0,0.4402346765448678,3,-13.453045100221455
9,0.2222222222222222,0.4444444444444445,0.0,0.4402346765448678,4,-13.450987177978174
9,0.2222222222222222,0.4444444444444445,0.0,0.4402346765448678,5,-6.372154984032499
9,0.2222222222222222,0.4444444444444445,0.0,0.4402346765448678,6,-6.366495157829186
9,0.2222222222222222,0.4444444444444445,0.0,0.4402346765448678,7,-5.819906495550538
9,0.2222222222222222,0.4444444444444445,0.0,0.4402346765448678,8,-5.805096345189322
9,0.2222222222222222,0.4444444444444445,0.0,0.4402346765448678,9,-4.963791178279352
9,0.2222222222222222,0.4444444444444445,0.0,0.4402346765448678,10,-4.952573449076369
9,0.2222222222222222,0.4444444444444445,0.0,0.4402346765448678,11,-4.6773982108304795
9,0.2222222222222222,0.4444444444444445,0.0,0.4402346765448678,12,-4.65642362120792
9,0.2222222222222222,0.4444444444444445,0.0,0.4402346765448678,13,-3.8532199994797276
9,0.2222222222222222,0.4444444444444445,0.0,0.4402346765448678,14,-3.7997624457012504
9,0.2222222222222222,0.4444444444444445,0.0,0.4402346765448678,15,-2.845831148810352
9,0.2222222222222222,0.4444444444444445,0.0,0.4402346765448678,16,-2.827517130043728
9,0.2222222222222222,0.4444444444444445,0.0,0.4402346765448678,17,-2.046380878578989
9,0.2222222222222222,0.4444444444444445,0.0,0.4402346765448678,18,-1.944208365519509
9,0.2222222222222222,0.4444444444444445,0.0,0.4402346765448678,19,0.6373566722684707
9,0.2222222222222222,0.4444444444444445,0.0,0.4402346765448678,20,0.6910099091135742
9,0.2222222222222222,0.4444444444444445,0.0,0.4402346765448678,21,1.2349416216031903
9,0.2222222222222222,0.4444444444444445,0.0,0.4402346765448678,22,1.2664012339453992
9,0.2222222222222222,0.4444444444444445,0.0,0.4402346765448678,23,1.5412814352712179
9,0.2222222222222222,0.4444444444444445,0.0,0.4402346765448678,24,1.5573444951221096
9,0.2222222222222222,0.4444444444444445,0.0,0.4402346765448678,25,2.994619970858955
9,0.2222222222222222,0.4444444444444445,0.0,0.4402346765448678,26,3.0036241042370735
10,0.2083333333333333,0.4166666666666667,0.0,0.49526401111297635,1,-13.928221104524209
10,0.2083333333333333,0.4166666666666667,0.0,0.49526401111297635,2,-13.914410536968125
10,0.2083333333333333,0.4166666666666667,0.0,0.49526401111297635,3,-13.52004408354082
10,0.2083333333333333,0.4166666666666667,0.0,0.49526401111297635,4,-13.51828538515679
10,0.2083333333333333,0.4166666666666667,0.0,0.49526401111297635,5,-6.327019337467581
10,0.2083333333333333,0.4166666666666667,0.0,0.49526401111297635,6,-6.317245492204109
10,0.2083333333333333,0.4166666666666667,0.0,0.49526401111297635,7,-5.609084665975048
10,0.2083333333333333,0.4166666666666667,0.0,0.49526401111297635,8,-5.591597342665552
10,0.2083333333333333,0.4166666666666667,0.0,0.49526401111297635,9,-5.005105228488714
10,0.2083333333333333,0.4166666666666667,0.0,0.49526401111297635,10,-4.993571663335527
10,0.2083333333333333,0.4166666666666667,0.0,0.49526401111297635,11,-4.67839108953027
10,0.2083333333333333,0.4166666666666667,0.0,0.49526401111297635,12,-4.656480728640289
10,0.2083333333333333,0.4166666666666667,0.0,0.49526401111297635,13,-3.6676097971306314
10,0.2083333333333333,0.4166666666666667,0.0,0.49526401111297635,14,-3.6085868521490694
10,0.2083333333333333,0.4166666666666667,0.0,0.49526401111297635,15,-2.736962517605452
10,0.2083333333333333,0.4166666666666667,0.0,0.49526401111297635,16,-2.714488253036805
10,0.2083333333333333,0.4166666666666667,0.0,0.49526401111297635,17,-2.1078136960263008
10,0.2083333333333333,0.4166666666666667,0.0,0.49526401111297635,18,-2.009522177279278
10,0.2083333333333333,0.4166666666666667,0.0,0.49526401111297635,19,0.5435532964406898
10,0.2083333333333333,0.4166666666666667,0.0,0.49526401111297635,20,0.6138429971256149
10,0.2083333333333333,0.4166666666666667,0.0,0.49526401111297635,21,1.1901641952297775
10,0.2083333333333333,0.4166666666666667,0.0,0.49526401111297635,22,1.1976017628930533
10,0.2083333333333333,0.4166666666666667,0.0,0.49526401111297635,23,1.4772930630055465
10,0.2083333333333333,0.4166666666666667,0.0,0.49526401111297635,24,1.5059703351672482
10,0.2083333333333333,0.4166666666666667,0.0,0.49526401111297635,25,2.9329464462791854
10,0.2083333333333333,0.4166666666666667,0.0,0.49526401111297635,26,2.9387235354244137
11,0.1944444444444444,0.3888888888888888,0.0,0.5502933456810851,1,-14.065188694641268
11,0.1944444444444444,0.3888888888888888,0.0,0.5502933456810851,2,-14.053813084950825
11,0.1944444444444444,0.3888888888888888,0.0,0.5502933456810851,3,-13.590201565472842
11,0.1944444444444444,0.3888888888888888,0.0,0.5502933456810851,4,-13.588730459778969
11,0.1944444444444444,0.3888888888888888,0.0,0.5502933456810851,5,-6.269453970411913
11,0.1944444444444444,0.3888888888888888,0.0,0.5502933456810851,6,-6.25654433200564
11,0.1944444444444444,0.3888888888888888,0.0,0.5502933456810851,7,-5.3869051156600865
11,0.1944444444444444,0.3888888888888888,0.0,0.5502933456810851,8,-5.366153440317074
11,0.1944444444444444,0.3888888888888888,0.0,0.5502933456810851,9,-5.052554779967576
11,0.1944444444444444,0.3888888888888888,0.0,0.5502933456810851,10,-5.041283822961066
11,0.1944444444444444,0.3888888888888888,0.0,0.5502933456810851,11,-4.654560810624586
11,0.1944444444444444,0.3888888888888888,0.0,0.5502933456810851,12,-4.630981144372566
11,0.1944444444444444,0.3888888888888888,0.0,0.5502933456810851,13,-3.4977223619052764
11,0.1944444444444444,0.3888888888888888,0.0,0.5502933456810851,14,-3.4333192126621777
11,0.1944444444444444,0.3888888888888888,0.0,0.5502933456810851,15,-2.637800696960284
11,0.1944444444444444,0.3888888888888888,0.0,0.5502933456810851,16,-2.6111655419997213
