# schema=VASPBERRY_BARE_MOMENTUM_KUBO_BUNDLE_V1
# vaspberry_version=1.3.0
# normalization=STANDARD_MINUS_TWO_IM
# operator=WAVECAR_BARE_MOMENTUM_NO_PAW_NONLOCAL_VELOCITY
# berry_connection=A_i=i<u|d/dk_i u>
# occupation_weighting=NONE
# result_kind=ISOLATED_BUNDLE_TRACE
# result_status=PASS
# curvature=TRACE_OF_SELECTED_BUNDLE
# internal_transitions=EXCLUDED_ANALYTICALLY
# degeneracy_policy=ALLOW_INTERNAL_REJECT_EXTERNAL_GAP_LE_THRESHOLD
# gap_threshold_eV=1e-5
# index_base=1
# band_min=1
# band_max=18
# band_rank=18
# source_nbands=26
# intermediate_bands=EXTERNAL_TO_SELECTED_BUNDLE_WITHIN_SOURCE_NBANDS
# no_external_states=false
spin,k_index,kx_frac,ky_frac,kz_frac,omega_z_A2,min_external_gap_eV
1,70,-2.50000000000000000E-001, 4.16666666666667074E-001, 0.00000000000000000E+000, 6.47259056509601827E+000, 2.05058970504845917E+000
1,71,-1.66666666666666075E-001, 4.16666666666667074E-001, 0.00000000000000000E+000, 3.38790112998038717E+000, 2.34334826494223591E+000
1,72,-8.33333333333330373E-002, 4.16666666666667074E-001, 0.00000000000000000E+000, 1.44572294180163796E+000, 2.63816161637550639E+000
1,73, 0.00000000000000000E+000, 5.00000000000000111E-001, 0.00000000000000000E+000,-8.71750995707432162E-005, 2.89370265706421748E+000
1,74, 8.33333333333330373E-002, 5.00000000000000000E-001, 0.00000000000000000E+000,-1.44578632108178984E+000, 2.63816157867003742E+000
1,75, 1.66666666666666963E-001, 5.00000000000000111E-001, 0.00000000000000000E+000,-2.94097264402831948E+000, 2.54723931337017540E+000
1,76, 2.50000000000000000E-001, 5.00000000000000000E-001, 0.00000000000000000E+000,-3.71393212476179002E+000, 2.52163766785482313E+000
1,77, 3.33333333333333037E-001, 5.00000000000000111E-001, 0.00000000000000000E+000,-2.94092691815542340E+000, 2.54723823600537402E+000
1,78, 4.16666666666666963E-001, 5.00000000000000000E-001, 0.00000000000000000E+000,-1.44575614094533367E+000, 2.63816009710398713E+000
1,79, 5.00000000000000000E-001, 5.00000000000000000E-001, 0.00000000000000000E+000,-1.52199885228537334E-005, 2.89370156367914566E+000
1,80,-4.16666666666666963E-001, 5.00000000000000000E-001, 0.00000000000000000E+000, 1.44578286962451941E+000, 2.63816009669310958E+000
1,81,-3.33333333333333037E-001, 5.00000000000000111E-001, 0.00000000000000000E+000, 2.94090148665108764E+000, 2.54723824314801828E+000
1,82,-2.50000000000000000E-001, 5.00000000000000222E-001, 0.00000000000000000E+000, 3.71388634644812177E+000, 2.52163767146368789E+000
1,83,-1.66666666666666075E-001, 5.00000000000000111E-001, 0.00000000000000000E+000, 2.94095662549475723E+000, 2.54723931784534763E+000
1,84,-8.33333333333330373E-002, 5.00000000000000111E-001, 0.00000000000000000E+000, 1.44576756922850636E+000, 2.63816159302472331E+000
1,85, 0.00000000000000000E+000,-4.16666666666667074E-001, 0.00000000000000000E+000,-2.51113722571446828E-005, 3.00763305605903941E+000
1,86, 8.33333333333330373E-002,-4.16666666666667074E-001, 0.00000000000000000E+000,-1.44575318997665314E+000, 2.63816159668257821E+000
1,87, 1.66666666666666963E-001,-4.16666666666667074E-001, 0.00000000000000000E+000,-3.38772813455426558E+000, 2.34334826149297637E+000
1,88, 2.50000000000000000E-001,-4.16666666666667074E-001, 0.00000000000000000E+000,-6.47260441637276074E+000, 2.05058969864456042E+000
1,89, 3.33333333333333037E-001,-4.16666666666667074E-001, 0.00000000000000000E+000,-6.47263365708369776E+000, 2.05058810521725832E+000
1,90, 4.16666666666666963E-001,-4.16666666666667185E-001, 0.00000000000000000E+000,-3.38791606081592267E+000, 2.34334536807467231E+000
1,91, 5.00000000000000000E-001,-4.16666666666667185E-001, 0.00000000000000000E+000,-1.44560988027500881E+000, 2.63816008976162886E+000
1,92,-4.16666666666666963E-001,-4.16666666666666963E-001, 0.00000000000000000E+000, 4.08413495432987693E-005, 3.00763343614806811E+000
1,93,-3.33333333333333037E-001,-4.16666666666666963E-001, 0.00000000000000000E+000, 2.10306331755016140E+000, 2.73770143239509700E+000
1,94,-2.50000000000000000E-001,-4.16666666666666075E-001, 0.00000000000000000E+000, 4.01838322586702201E+000, 2.57287262046716325E+000
1,95,-1.66666666666666075E-001,-4.16666666666666075E-001, 0.00000000000000000E+000, 4.01817710942352502E+000, 2.57287275537701721E+000
1,96,-8.33333333333330373E-002,-4.16666666666666963E-001, 0.00000000000000000E+000, 2.10327194048042321E+000, 2.73770222332486446E+000
1,97, 0.00000000000000000E+000,-3.33333333333333093E-001, 0.00000000000000000E+000,-2.29879129660960319E-005, 3.14894376886877669E+000
1,98, 8.33333333333330373E-002,-3.33333333333333148E-001, 0.00000000000000000E+000,-2.10322804450842016E+000, 2.73770012388717410E+000
1,99, 1.66666666666666963E-001,-3.33333333333333148E-001, 0.00000000000000000E+000,-2.94096277112968574E+000, 2.54724089801310694E+000
1,100, 2.50000000000000000E-001,-3.33333333333333093E-001, 0.00000000000000000E+000,-6.47253333583109303E+000, 2.05059211728111368E+000
1,101, 3.33333333333333037E-001,-3.33333333333333093E-001, 0.00000000000000000E+000,-1.31780912773801315E+001, 1.67355036373080779E+000
1,102, 4.16666666666666963E-001,-3.33333333333333037E-001, 0.00000000000000000E+000,-6.47263754910452338E+000, 2.05058810461223207E+000
1,103, 5.00000000000000000E-001,-3.33333333333333148E-001, 0.00000000000000000E+000,-2.94096367760531541E+000, 2.54723823562736573E+000
1,104,-4.16666666666666963E-001,-3.33333333333333037E-001, 0.00000000000000000E+000,-2.10326643332970820E+000, 2.73770143465105464E+000
1,105,-3.33333333333333037E-001,-3.33333333333333037E-001, 0.00000000000000000E+000,-3.64229138096724470E-005, 3.14894723658058551E+000
1,106,-2.50000000000000000E-001,-3.33333333333333037E-001, 0.00000000000000000E+000, 3.20469449244124549E+000, 2.71223353923893606E+000
1,107,-1.66666666666666075E-001,-3.33333333333333093E-001, 0.00000000000000000E+000, 5.16631307410888496E+000, 2.52581970537021006E+000
1,108,-8.33333333333330373E-002,-3.33333333333333093E-001, 0.00000000000000000E+000, 3.20469913428494246E+000, 2.71223335999404380E+000
1,109, 0.00000000000000000E+000,-2.50000000000000056E-001, 0.00000000000000000E+000,-4.20870642018390681E-005, 2.81837754346690028E+000
1,110, 8.33333333333330373E-002,-2.50000000000000056E-001, 0.00000000000000000E+000,-3.20366942584926395E+000, 2.71222880715735704E+000
1,111, 1.66666666666666963E-001,-2.50000000000000111E-001, 0.00000000000000000E+000,-4.01829787734549271E+000, 2.57287221574538760E+000
1,112, 2.50000000000000000E-001,-2.50000000000000000E-001, 0.00000000000000000E+000,-3.71389834518707307E+000, 2.52164076070672438E+000
1,113, 3.33333333333333037E-001,-2.50000000000000111E-001, 0.00000000000000000E+000,-6.47246530793543240E+000, 2.05059211637189476E+000
1,114, 4.16666666666666963E-001,-2.50000000000000056E-001, 0.00000000000000000E+000,-6.47257775536000945E+000, 2.05058969636149779E+000
1,115, 5.00000000000000000E-001,-2.50000000000000111E-001, 0.00000000000000000E+000,-3.71394942271037376E+000, 2.52163766901199837E+000
1,116,-4.16666666666666963E-001,-2.50000000000000000E-001, 0.00000000000000000E+000,-4.01840848875364731E+000, 2.57287262091839342E+000
1,117,-3.33333333333333037E-001,-2.50000000000000000E-001, 0.00000000000000000E+000,-3.20473349175506339E+000, 2.71223354070574185E+000
