# mu_eV	mu_minus_reference_eV	temperature_K	region	band_id	sigma_e2_over_h	sigma_S	delta_sigma_e2_over_h	electrons_per_cell	delta_electrons_per_cell
-1.3998738806724562	-0.9617751798674918	0.0	total	0	6.906619067654349e-06	2.6756559039705625e-10	-5.7137409810448236e-08	17.98611111111111	-0.013888888888888888
-1.394873880672456	-0.9567751798674917	0.0	total	0	6.906619067654349e-06	2.6756559039705625e-10	-5.7137409810448236e-08	17.98611111111111	-0.013888888888888888
-1.3898738806724562	-0.9517751798674918	0.0	total	0	6.906619067654349e-06	2.6756559039705625e-10	-5.7137409810448236e-08	17.98611111111111	-0.013888888888888888
-1.384873880672456	-0.9467751798674917	0.0	total	0	6.906619067654349e-06	2.6756559039705625e-10	-5.7137409810448236e-08	17.98611111111111	-0.013888888888888888
-1.3798738806724562	-0.9417751798674918	0.0	total	0	6.906619067654349e-06	2.6756559039705625e-10	-5.7137409810448236e-08	17.98611111111111	-0.013888888888888888
-1.374873880672456	-0.9367751798674917	0.0	total	0	6.906619067654349e-06	2.6756559039705625e-10	-5.7137409810448236e-08	17.98611111111111	-0.013888888888888888
-1.3698738806724562	-0.9317751798674918	0.0	total	0	6.906619067654349e-06	2.6756559039705625e-10	-5.7137409810448236e-08	17.98611111111111	-0.013888888888888888
-1.364873880672456	-0.9267751798674917	0.0	total	0	6.906619067654349e-06	2.6756559039705625e-10	-5.7137409810448236e-08	17.98611111111111	-0.013888888888888888
-1.3598738806724562	-0.9217751798674918	0.0	total	0	6.906619067654349e-06	2.6756559039705625e-10	-5.7137409810448236e-08	17.98611111111111	-0.013888888888888888
-1.354873880672456	-0.9167751798674917	0.0	total	0	6.906619067654349e-06	2.6756559039705625e-10	-5.7137409810448236e-08	17.98611111111111	-0.013888888888888888
-1.3498738806724562	-0.9117751798674918	0.0	total	0	6.906619067654349e-06	2.6756559039705625e-10	-5.7137409810448236e-08	17.98611111111111	-0.013888888888888888
-1.344873880672456	-0.9067751798674917	0.0	total	0	6.906619067654349e-06	2.6756559039705625e-10	-5.7137409810448236e-08	17.98611111111111	-0.013888888888888888
-1.3398738806724562	-0.9017751798674918	0.0	total	0	6.906619067654349e-06	2.6756559039705625e-10	-5.7137409810448236e-08	17.98611111111111	-0.013888888888888888
-1.3348738806724563	-0.8967751798674919	0.0	total	0	6.906619067654349e-06	2.6756559039705625e-10	-5.7137409810448236e-08	17.98611111111111	-0.013888888888888888
-1.3298738806724562	-0.8917751798674918	0.0	total	0	6.906619067654349e-06	2.6756559039705625e-10	-5.7137409810448236e-08	17.98611111111111	-0.013888888888888888
-1.324873880672456	-0.8867751798674917	0.0	total	0	6.906619067654349e-06	2.6756559039705625e-10	-5.7137409810448236e-08	17.98611111111111	-0.013888888888888888
-1.3198738806724561	-0.8817751798674918	0.0	total	0	6.906619067654349e-06	2.6756559039705625e-10	-5.7137409810448236e-08	17.98611111111111	-0.013888888888888888
-1.3148738806724563	-0.8767751798674919	0.0	total	0	6.906619067648695e-06	2.675655903968372e-10	-5.713740980350934e-08	17.98611111111111	-0.013888888888888888
-1.3098738806724561	-0.8717751798674918	0.0	total	0	6.906619067648695e-06	2.675655903968372e-10	-5.713740980350934e-08	17.98611111111111	-0.013888888888888888
-1.304873880672456	-0.8667751798674916	0.0	total	0	6.906619067648695e-06	2.675655903968372e-10	-5.713740980350934e-08	17.98611111111111	-0.013888888888888888
-1.2998738806724561	-0.8617751798674917	0.0	total	0	6.906619067648695e-06	2.675655903968372e-10	-5.713740980350934e-08	17.98611111111111	-0.013888888888888888
-1.2948738806724562	-0.8567751798674919	0.0	total	0	6.906619067648695e-06	2.675655903968372e-10	-5.713740980350934e-08	17.98611111111111	-0.013888888888888888
-1.2898738806724561	-0.8517751798674917	0.0	total	0	6.906619067648695e-06	2.675655903968372e-10	-5.713740980350934e-08	17.98611111111111	-0.013888888888888888
-1.2848738806724562	-0.8467751798674918	0.0	total	0	6.906619067648695e-06	2.675655903968372e-10	-5.713740980350934e-08	17.98611111111111	-0.013888888888888888
-1.279873880672456	-0.8417751798674917	0.0	total	0	6.906619067648695e-06	2.675655903968372e-10	-5.713740980350934e-08	17.98611111111111	-0.013888888888888888
-1.2748738806724562	-0.8367751798674918	0.0	total	0	6.963756477563227e-06	2.6977911986296025e-10	0.0	18.0	0.0
-1.269873880672456	-0.8317751798674917	0.0	total	0	6.963756477563227e-06	2.6977911986296025e-10	0.0	18.0	0.0
-1.2648738806724562	-0.8267751798674918	0.0	total	0	6.963756477563227e-06	2.6977911986296025e-10	0.0	18.0	0.0
-1.259873880672456	-0.8217751798674917	0.0	total	0	6.963756477563227e-06	2.6977911986296025e-10	0.0	18.0	0.0
-1.2548738806724562	-0.8167751798674918	0.0	total	0	6.963756477563227e-06	2.6977911986296025e-10	0.0	18.0	0.0
-1.249873880672456	-0.8117751798674917	0.0	total	0	6.963756477563227e-06	2.6977911986296025e-10	0.0	18.0	0.0
-1.2448738806724562	-0.8067751798674918	0.0	total	0	6.963756477563227e-06	2.6977911986296025e-10	0.0	18.0	0.0
-1.239873880672456	-0.8017751798674917	0.0	total	0	6.963756477563227e-06	2.6977911986296025e-10	0.0	18.0	0.0
-1.2348738806724562	-0.7967751798674918	0.0	total	0	6.963756477563227e-06	2.6977911986296025e-10	0.0	18.0	0.0
-1.229873880672456	-0.7917751798674917	0.0	total	0	6.963756477563227e-06	2.6977911986296025e-10	0.0	18.0	0.0
-1.2248738806724562	-0.7867751798674918	0.0	total	0	6.963756477563227e-06	2.6977911986296025e-10	0.0	18.0	0.0
-1.219873880672456	-0.7817751798674917	0.0	total	0	6.963756477563227e-06	2.6977911986296025e-10	0.0	18.0	0.0
-1.2148738806724562	-0.7767751798674918	0.0	total	0	6.963756477563227e-06	2.6977911986296025e-10	0.0	18.0	0.0
-1.209873880672456	-0.7717751798674917	0.0	total	0	6.963756477563227e-06	2.6977911986296025e-10	0.0	18.0	0.0
-1.2048738806724562	-0.7667751798674918	0.0	total	0	6.963756477563227e-06	2.6977911986296025e-10	0.0	18.0	0.0
-1.199873880672456	-0.7617751798674917	0.0	total	0	6.963756477563227e-06	2.6977911986296025e-10	0.0	18.0	0.0
-1.1948738806724561	-0.7567751798674918	0.0	total	0	6.963756477563227e-06	2.6977911986296025e-10	0.0	18.0	0.0
-1.1898738806724563	-0.7517751798674919	0.0	total	0	6.963756477563227e-06	2.6977911986296025e-10	0.0	18.0	0.0
-1.1848738806724561	-0.7467751798674918	0.0	total	0	6.963756477563227e-06	2.6977911986296025e-10	0.0	18.0	0.0
-1.179873880672456	-0.7417751798674916	0.0	total	0	6.963756477563227e-06	2.6977911986296025e-10	0.0	18.0	0.0
-1.1748738806724561	-0.7367751798674917	0.0	total	0	6.963756477563227e-06	2.6977911986296025e-10	0.0	18.0	0.0
-1.4748738806724562	-1.0367751798674918	0.0	K	0	0.22423421586793876	8.686936367594183e-06	-0.14299495244272098	1.5694444444444446	-0.055555555555555566
-1.4698738806724563	-1.031775179867492	0.0	K	0	0.22423421586793876	8.686936367594183e-06	-0.14299495244272098	1.5694444444444446	-0.055555555555555566
-1.4648738806724562	-1.0267751798674918	0.0	K	0	0.22423421586793876	8.686936367594183e-06	-0.14299495244272098	1.5694444444444446	-0.055555555555555566
-1.4598738806724563	-1.021775179867492	0.0	K	0	0.30880406077249317	1.196321094709833e-05	-0.05842510753816652	1.6111111111111112	-0.013888888888888888
-1.4548738806724562	-1.0167751798674918	0.0	K	0	0.30880406077249317	1.196321094709833e-05	-0.05842510753816652	1.6111111111111112	-0.013888888888888888
-1.4498738806724563	-1.0117751798674919	0.0	K	0	0.30880406077249317	1.196321094709833e-05	-0.05842510753816652	1.6111111111111112	-0.013888888888888888
-1.4448738806724561	-1.0067751798674918	0.0	K	0	0.30880406077249317	1.196321094709833e-05	-0.05842510753816652	1.6111111111111112	-0.013888888888888888
-1.4398738806724563	-1.0017751798674919	0.0	K	0	0.30880406077249317	1.196321094709833e-05	-0.05842510753816652	1.6111111111111112	-0.013888888888888888
-1.4348738806724561	-0.9967751798674918	0.0	K	0	0.30880406077249317	1.196321094709833e-05	-0.05842510753816652	1.6111111111111112	-0.013888888888888888
-1.4298738806724562	-0.9917751798674919	0.0	K	0	0.30880406077249317	1.196321094709833e-05	-0.05842510753816652	1.6111111111111112	-0.013888888888888888
-1.4248738806724561	-0.9867751798674917	0.0	K	0	0.30880406077249317	1.196321094709833e-05	-0.05842510753816652	1.6111111111111112	-0.013888888888888888
-1.4198738806724562	-0.9817751798674919	0.0	K	0	0.33509978010910885	1.2981919174712567e-05	-0.03212938820155083	1.6180555555555556	-0.006944444444444444
-1.4148738806724561	-0.9767751798674917	0.0	K	0	0.33509978010910885	1.2981919174712567e-05	-0.03212938820155083	1.6180555555555556	-0.006944444444444444
-1.4098738806724562	-0.9717751798674918	0.0	K	0	0.33509978010910885	1.2981919174712567e-05	-0.03212938820155083	1.6180555555555556	-0.006944444444444444
-1.404873880672456	-0.9667751798674917	0.0	K	0	0.33509978010910885	1.2981919174712567e-05	-0.03212938820155083	1.6180555555555556	-0.006944444444444444
-1.3998738806724562	-0.9617751798674918	0.0	K	0	0.33509978010910885	1.2981919174712567e-05	-0.03212938820155083	1.6180555555555556	-0.006944444444444444
-1.394873880672456	-0.9567751798674917	0.0	K	0	0.33509978010910885	1.2981919174712567e-05	-0.03212938820155083	1.6180555555555556	-0.006944444444444444
-1.3898738806724562	-0.9517751798674918	0.0	K	0	0.33509978010910885	1.2981919174712567e-05	-0.03212938820155083	1.6180555555555556	-0.006944444444444444
-1.384873880672456	-0.9467751798674917	0.0	K	0	0.33509978010910885	1.2981919174712567e-05	-0.03212938820155083	1.6180555555555556	-0.006944444444444444
-1.3798738806724562	-0.9417751798674918	0.0	K	0	0.33509978010910885	1.2981919174712567e-05	-0.03212938820155083	1.6180555555555556	-0.006944444444444444
-1.374873880672456	-0.9367751798674917	0.0	K	0	0.33509978010910885	1.2981919174712567e-05	-0.03212938820155083	1.6180555555555556	-0.006944444444444444
-1.3698738806724562	-0.9317751798674918	0.0	K	0	0.33509978010910885	1.2981919174712567e-05	-0.03212938820155083	1.6180555555555556	-0.006944444444444444
-1.364873880672456	-0.9267751798674917	0.0	K	0	0.33509978010910885	1.2981919174712567e-05	-0.03212938820155083	1.6180555555555556	-0.006944444444444444
-1.3598738806724562	-0.9217751798674918	0.0	K	0	0.33509978010910885	1.2981919174712567e-05	-0.03212938820155083	1.6180555555555556	-0.006944444444444444
-1.354873880672456	-0.9167751798674917	0.0	K	0	0.33509978010910885	1.2981919174712567e-05	-0.03212938820155083	1.6180555555555556	-0.006944444444444444
-1.3498738806724562	-0.9117751798674918	0.0	K	0	0.33509978010910885	1.2981919174712567e-05	-0.03212938820155083	1.6180555555555556	-0.006944444444444444
-1.344873880672456	-0.9067751798674917	0.0	K	0	0.33509978010910885	1.2981919174712567e-05	-0.03212938820155083	1.6180555555555556	-0.006944444444444444
-1.3398738806724562	-0.9017751798674918	0.0	K	0	0.33509978010910885	1.2981919174712567e-05	-0.03212938820155083	1.6180555555555556	-0.006944444444444444
-1.3348738806724563	-0.8967751798674919	0.0	K	0	0.33509978010910885	1.2981919174712567e-05	-0.03212938820155083	1.6180555555555556	-0.006944444444444444
-1.3298738806724562	-0.8917751798674918	0.0	K	0	0.33509978010910885	1.2981919174712567e-05	-0.03212938820155083	1.6180555555555556	-0.006944444444444444
-1.324873880672456	-0.8867751798674917	0.0	K	0	0.33509978010910885	1.2981919174712567e-05	-0.03212938820155083	1.6180555555555556	-0.006944444444444444
-1.3198738806724561	-0.8817751798674918	0.0	K	0	0.33509978010910885	1.2981919174712567e-05	-0.03212938820155083	1.6180555555555556	-0.006944444444444444
-1.3148738806724563	-0.8767751798674919	0.0	K	0	0.33509978010910885	1.2981919174712567e-05	-0.03212938820155083	1.6180555555555556	-0.006944444444444444
-1.3098738806724561	-0.8717751798674918	0.0	K	0	0.33509978010910885	1.2981919174712567e-05	-0.03212938820155083	1.6180555555555556	-0.006944444444444444
-1.304873880672456	-0.8667751798674916	0.0	K	0	0.33509978010910885	1.2981919174712567e-05	-0.03212938820155083	1.6180555555555556	-0.006944444444444444
-1.2998738806724561	-0.8617751798674917	0.0	K	0	0.33509978010910885	1.2981919174712567e-05	-0.03212938820155083	1.6180555555555556	-0.006944444444444444
-1.2948738806724562	-0.8567751798674919	0.0	K	0	0.33509978010910885	1.2981919174712567e-05	-0.03212938820155083	1.6180555555555556	-0.006944444444444444
-1.2898738806724561	-0.8517751798674917	0.0	K	0	0.33509978010910885	1.2981919174712567e-05	-0.03212938820155083	1.6180555555555556	-0.006944444444444444
-1.2848738806724562	-0.8467751798674918	0.0	K	0	0.33509978010910885	1.2981919174712567e-05	-0.03212938820155083	1.6180555555555556	-0.006944444444444444
-1.279873880672456	-0.8417751798674917	0.0	K	0	0.33509978010910885	1.2981919174712567e-05	-0.03212938820155083	1.6180555555555556	-0.006944444444444444
-1.2748738806724562	-0.8367751798674918	0.0	K	0	0.3672291683106597	1.4226626409762642e-05	0.0	1.625	0.0
-1.269873880672456	-0.8317751798674917	0.0	K	0	0.3672291683106597	1.4226626409762642e-05	0.0	1.625	0.0
-1.2648738806724562	-0.8267751798674918	0.0	K	0	0.3672291683106597	1.4226626409762642e-05	0.0	1.625	0.0
-1.259873880672456	-0.8217751798674917	0.0	K	0	0.3672291683106597	1.4226626409762642e-05	0.0	1.625	0.0
-1.2548738806724562	-0.8167751798674918	0.0	K	0	0.3672291683106597	1.4226626409762642e-05	0.0	1.625	0.0
-1.249873880672456	-0.8117751798674917	0.0	K	0	0.3672291683106597	1.4226626409762642e-05	0.0	1.625	0.0
