# schema=VASPBERRY_BARE_MOMENTUM_KUBO_V2
# vaspberry_version=1.3.0
# normalization=STANDARD_MINUS_TWO_IM
# operator=WAVECAR_BARE_MOMENTUM_NO_PAW_NONLOCAL_VELOCITY
# berry_connection=A_i=i<u|d/dk_i u>
# occupation_weighting=NONE
# degeneracy_policy=SKIP_ABS_GAP_LE_MACHINE_EPSILON_eV
# migration=PRE_1.3_KUBO_CURVATURE_AND_CHERN_DIVIDE_BY_2
# index_base=1
# intermediate_bands=1:32
spin,k_index,band,kx_frac,ky_frac,kz_frac,energy_eV,omega_z_A2,min_gap_eV
1,29,17,-5.79704347826087013E-002,-1.15942086956521737E-001, 0.00000000000000000E+000,-1.59796746803118195E+000, 1.43990641353935578E-001, 9.99307364793811104E-004
1,30,17,-7.24630434782608801E-002,-1.44927608695652160E-001, 0.00000000000000000E+000,-1.64519839198231344E+000, 2.33342146882504820E-001, 2.70853062958376078E-003
1,31,17,-8.69556521739130450E-002,-1.73913130434782598E-001, 0.00000000000000000E+000,-1.71241778766951924E+000, 2.55007671201942954E-001, 6.13588808638398930E-003
1,32,17,-1.01448260869565224E-001,-2.02898652173913036E-001, 0.00000000000000000E+000,-1.80035699937545801E+000, 4.96634067398187065E-002, 1.21424036154016424E-002
1,33,17,-1.15940869565217403E-001,-2.31884173913043473E-001, 0.00000000000000000E+000,-1.90468160162805589E+000,-6.37117454717977538E-001, 2.16049819638988172E-002
1,34,17,-1.30433478260869568E-001,-2.60869695652173883E-001, 0.00000000000000000E+000,-2.01414716274457861E+000,-2.04687764352269363E+000, 3.51294350207116413E-002
1,35,17,-1.44926086956521760E-001,-2.89855217391304321E-001, 0.00000000000000000E+000,-2.11006183437662420E+000,-3.75978733485552352E+000, 5.21602362556898846E-002
1,36,17,-1.59418695652173925E-001,-3.18840739130434758E-001, 0.00000000000000000E+000,-2.17144067146476694E+000,-4.03317387240736114E+000, 6.95928489764328084E-002
1,37,17,-1.73911304347826090E-001,-3.47826260869565196E-001, 0.00000000000000000E+000,-2.18866672374421212E+000,-2.21411869801711836E+000, 8.29948753591334132E-002
1,38,17,-1.88403913043478283E-001,-3.76811782608695633E-001, 0.00000000000000000E+000,-2.16984094554144225E+000,-1.54537538662783719E-001, 9.13179779421318116E-002
1,39,17,-2.02896521739130448E-001,-4.05797304347826071E-001, 0.00000000000000000E+000,-2.12793036718578810E+000, 1.02339803902342075E+000, 9.66525666112256765E-002
1,40,17,-2.17389130434782640E-001,-4.34782826086956509E-001, 0.00000000000000000E+000,-2.06938759550892737E+000, 1.45497378797274290E+000, 1.00843364913748124E-001
1,41,17,-2.31881739130434805E-001,-4.63768347826086946E-001, 0.00000000000000000E+000,-1.99499436508553352E+000, 1.53903166470682540E+000, 1.04884551787362001E-001
1,42,17,-2.46374347826086970E-001,-4.92753869565217384E-001, 0.00000000000000000E+000,-1.90487759984843819E+000, 1.57364125828736401E+000, 1.09402586628930987E-001
1,43,17,-2.60866956521739135E-001,-5.21739391304347766E-001, 0.00000000000000000E+000,-1.80184231612891299E+000, 1.74438146879497369E+000, 1.14881496739258404E-001
1,44,17,-2.75359565217391355E-001,-5.50724913043478259E-001, 0.00000000000000000E+000,-1.69260475502936014E+000, 2.15671702226111517E+000, 1.21639257080169205E-001
1,45,17,-2.89852173913043520E-001,-5.79710434782608641E-001, 0.00000000000000000E+000,-1.58753048235557404E+000, 2.91149759213434756E+000, 1.29604259131790966E-001
1,46,17,-3.04344782608695685E-001,-6.08695956521739134E-001, 0.00000000000000000E+000,-1.49953839656590815E+000, 3.98604527155056498E+000, 1.37903467935822865E-001
1,47,17,-3.18837391304347850E-001,-6.37681478260869516E-001, 0.00000000000000000E+000,-1.44160606025512061E+000, 5.04096424562181245E+000, 1.44546699636102005E-001
1,48,17,-3.33330000000000015E-001,-6.66667000000000010E-001, 0.00000000000000000E+000,-1.42198359719939504E+000, 5.48954768573555185E+000, 1.47109710999611121E-001
1,1,18, 3.33330000000000015E-001, 6.66667000000000010E-001, 0.00000000000000000E+000,-1.27487388122545586E+000,-6.67125101974524082E+000, 1.47109721036255969E-001
1,2,18, 3.18837391304347850E-001, 6.37681478260869627E-001, 0.00000000000000000E+000,-1.29705935557560337E+000,-6.02697488705060902E+000, 1.44546709804618034E-001
1,3,18, 3.04344782608695685E-001, 6.08695956521739134E-001, 0.00000000000000000E+000,-1.36163492377901196E+000,-4.57912558286631199E+000, 1.37903477736751823E-001
1,4,18, 2.89852173913043520E-001, 5.79710434782608752E-001, 0.00000000000000000E+000,-1.45792621877033790E+000,-3.20009445986429286E+000, 1.29604268161162883E-001
1,5,18, 2.75359565217391300E-001, 5.50724913043478259E-001, 0.00000000000000000E+000,-1.57096549398285057E+000,-2.29297873282098985E+000, 1.21639265146736397E-001
1,6,18, 2.60866956521739135E-001, 5.21739391304347877E-001, 0.00000000000000000E+000,-1.68696081588382962E+000,-1.82799595983042362E+000, 1.14881503872908519E-001
1,7,18, 2.46374347826086970E-001, 4.92753869565217384E-001, 0.00000000000000000E+000,-1.79547501003438903E+000,-1.65349375122272968E+000, 1.09402593071836973E-001
1,8,18, 2.31881739130434805E-001, 4.63768347826087002E-001, 0.00000000000000000E+000,-1.89010981022224867E+000,-1.65109487904761609E+000, 1.04884557951439028E-001
1,9,18, 2.17389130434782613E-001, 4.34782826086956509E-001, 0.00000000000000000E+000,-1.96854422735681944E+000,-1.65862182658041513E+000, 1.00843371331352794E-001
1,10,18, 2.02896521739130448E-001, 4.05797304347826127E-001, 0.00000000000000000E+000,-2.03127779690098809E+000,-1.43702005334918570E+000, 9.66525738217085539E-002
1,11,18, 1.88403913043478255E-001, 3.76811782608695689E-001, 0.00000000000000000E+000,-2.07852296334280462E+000,-6.84549540040488402E-001, 9.13179862640474127E-002
1,12,18, 1.73911304347826090E-001, 3.47826260869565251E-001, 0.00000000000000000E+000,-2.10567184367549620E+000, 7.91218749869702198E-001, 8.29948846189676459E-002
1,13,18, 1.59418695652173925E-001, 3.18840739130434814E-001, 0.00000000000000000E+000,-2.10184781777988938E+000, 2.51275428097404907E+000, 6.95928583771756593E-002
1,14,18, 1.44926086956521732E-001, 2.89855217391304376E-001, 0.00000000000000000E+000,-2.05790159388886362E+000, 2.80020783675831586E+000, 5.21602449124531908E-002
1,15,18, 1.30433478260869568E-001, 2.60869695652173939E-001, 0.00000000000000000E+000,-1.97901772400415266E+000, 1.62633991218882579E+000, 3.51294427535970843E-002
