ix,iy,source_k_index_1based,q1,q2,q3,flux_rad,curvature_A2
7,0,85,-0.4166666666666666,0.0,0.0,-1.950830608166143e-09,-1.1870058858150898e-07
7,1,86,-0.4166666666666666,0.0833333333333333,0.0,6.950691362614445e-10,4.22923011530112e-08
7,2,87,-0.4166666666666666,0.1666666666666667,0.0,-1.145726374884859e-09,-6.971307220775829e-08
7,3,88,-0.4166666666666666,0.25,0.0,8.764164881296973e-11,5.33265946044016e-09
7,4,89,-0.4166666666666666,0.3333333333333333,0.0,-3.2111979741955565e-10,-1.953891270688425e-08
7,5,90,-0.4166666666666666,0.4166666666666667,0.0,-3.0716622807655577e-09,-1.868989132753242e-07
7,6,91,-0.4166666666666666,0.5,0.0,-1.125502113049898e-09,-6.848250314994907e-08
7,7,92,-0.4166666666666666,-0.4166666666666666,0.0,-1.825690066473434e-09,-1.1108626476879362e-07
7,8,93,-0.4166666666666666,-0.3333333333333334,0.0,-9.50288736589755e-11,-5.782143866484579e-09
7,9,94,-0.4166666666666666,-0.25,0.0,-5.190958773937382e-12,-3.1585000726841123e-10
7,10,95,-0.4166666666666666,-0.1666666666666666,0.0,-2.426965295398986e-10,-1.4767156503739911e-08
7,11,96,-0.4166666666666666,-0.0833333333333334,0.0,1.0963685515008592e-09,6.670983724606655e-08
8,0,97,-0.3333333333333334,0.0,0.0,4.92978990962456e-10,2.9995887977465195e-08
8,1,98,-0.3333333333333334,0.0833333333333333,0.0,-2.768600675243041e-10,-1.6845877254685964e-08
8,2,99,-0.3333333333333334,0.1666666666666667,0.0,1.5434504556513466e-09,9.391306285912551e-08
8,3,100,-0.3333333333333334,0.25,0.0,5.021070455110741e-10,3.0551295219380274e-08
8,4,101,-0.3333333333333334,0.3333333333333333,0.0,-3.4235081436406745e-09,-2.0830738966400736e-07
8,5,102,-0.3333333333333334,0.4166666666666667,0.0,3.598167874763192e-10,2.1893476694573865e-08
8,6,103,-0.3333333333333334,0.5,0.0,1.7375425542809353e-09,1.0572282545456166e-07
8,7,104,-0.3333333333333334,-0.4166666666666666,0.0,1.2492926693141726e-09,7.601468550750124e-08
8,8,105,-0.3333333333333334,-0.3333333333333334,0.0,3.3199718529886013e-09,2.020076019794681e-07
8,9,106,-0.3333333333333334,-0.25,0.0,-2.208841554107721e-09,-1.3439956880846312e-07
8,10,107,-0.3333333333333334,-0.1666666666666666,0.0,1.8139989739349212e-09,1.10374906458301e-07
8,11,108,-0.3333333333333334,-0.0833333333333334,0.0,1.4773251511002172e-09,8.988959073525462e-08
9,0,109,-0.25,0.0,0.0,-1.3974739143662873e-09,-8.503094808345158e-08
9,1,110,-0.25,0.0833333333333333,0.0,-5.426523475696448e-09,-3.3018321930167633e-07
9,2,111,-0.25,0.1666666666666667,0.0,2.2414677010171354e-09,1.3638474518671093e-07
9,3,112,-0.25,0.25,0.0,-1.6745438369270005e-09,-1.0188959421526827e-07
9,4,113,-0.25,0.3333333333333333,0.0,1.4700492163707886e-09,8.94468779075757e-08
9,5,114,-0.25,0.4166666666666667,0.0,7.366525167640248e-10,4.4822490970724355e-08
9,6,115,-0.25,0.5,0.0,5.321775797817452e-10,3.238097233329662e-08
9,7,116,-0.25,-0.4166666666666666,0.0,-2.218426331523915e-09,-1.3498276589177855e-07
9,8,117,-0.25,-0.3333333333333334,0.0,-1.4859603547634492e-09,-9.041500988392708e-08
9,9,118,-0.25,-0.25,0.0,-1.3713090434155865e-09,-8.343891565941299e-08
9,10,119,-0.25,-0.1666666666666666,0.0,2.1083446100078618e-10,1.2828471374859194e-08
9,11,120,-0.25,-0.0833333333333334,0.0,-2.598707272275241e-09,-1.5812140812168763e-07
10,0,121,-0.1666666666666666,0.0,0.0,5.630666599643064e-09,3.4260454838370777e-07
10,1,122,-0.1666666666666666,0.0833333333333333,0.0,-2.273107480021963e-09,-1.3830990484677613e-07
10,2,123,-0.1666666666666666,0.1666666666666667,0.0,1.2099943269561209e-09,7.362353152998423e-08
10,3,124,-0.1666666666666666,0.25,0.0,-1.3195267101195896e-10,-8.028815853338207e-09
10,4,125,-0.1666666666666666,0.3333333333333333,0.0,1.452165054871557e-10,8.835869501391015e-09
10,5,126,-0.1666666666666666,0.4166666666666667,0.0,-8.301264349394652e-10,-5.0510021737362626e-08
10,6,127,-0.1666666666666666,0.5,0.0,1.417499895239871e-09,8.624945250237239e-08
10,7,128,-0.1666666666666666,-0.4166666666666666,0.0,2.2482775641208264e-09,1.36799099336776e-07
10,8,129,-0.1666666666666666,-0.3333333333333334,0.0,5.731707053424628e-10,3.487524739310155e-08
10,9,130,-0.1666666666666666,-0.25,0.0,5.728837959573241e-10,3.485779005326744e-08
10,10,131,-0.1666666666666666,-0.1666666666666666,0.0,8.87554030271076e-10,5.40042714882884e-08
10,11,132,-0.1666666666666666,-0.0833333333333334,0.0,9.13049436737928e-10,5.55555695564405e-08
11,0,133,-0.0833333333333334,0.0,0.0,-3.0673858453234004e-09,-1.8663870851849394e-07
11,1,134,-0.0833333333333334,0.0833333333333333,0.0,-1.8191350648066873e-09,-1.1068741796336696e-07
11,2,135,-0.0833333333333334,0.1666666666666667,0.0,4.741781833169917e-09,2.885193066821311e-07
11,3,136,-0.0833333333333334,0.25,0.0,-1.3516423535975264e-09,-8.224227272840619e-08
11,4,137,-0.0833333333333334,0.3333333333333333,0.0,-1.032888441443447e-09,-6.284731510011912e-08
11,5,138,-0.0833333333333334,0.4166666666666667,0.0,5.699599403552469e-10,3.467988461163601e-08
11,6,139,-0.0833333333333334,0.5,0.0,-8.623566534335434e-10,-5.247110738433946e-08
11,7,140,-0.0833333333333334,-0.4166666666666666,0.0,1.3278101069910727e-09,8.079217158299459e-08
11,8,141,-0.0833333333333334,-0.3333333333333334,0.0,-4.878490444948369e-09,-2.968375033591443e-07
11,9,142,-0.0833333333333334,-0.25,0.0,-2.1415604913061464e-10,-1.3030577321108738e-08
11,10,143,-0.0833333333333334,-0.1666666666666666,0.0,3.4627318790114714e-09,2.1069400409141562e-07
11,11,144,-0.0833333333333334,-0.0833333333333334,0.0,-3.180908869637733e-10,-1.9354615078808776e-08
