k_index,q1,q2,q3,distance_inv_A,band_id,energy_eV
15,0.07,0.0,0.0,0.11571703959086606,12,-0.6130682790375076
15,0.07,0.0,0.0,0.11571703959086606,13,0.5264241206699825
15,0.07,0.0,0.0,0.11571703959086606,14,0.5264247808916963
15,0.07,0.0,0.0,0.11571703959086606,15,1.4726266374450006
15,0.07,0.0,0.0,0.11571703959086606,16,1.4726268911242137
16,0.075,0.0,0.0,0.12398254241878505,1,-13.609020145555268
16,0.075,0.0,0.0,0.12398254241878505,2,-13.609019829902971
16,0.075,0.0,0.0,0.12398254241878505,3,-9.914708537185765
16,0.075,0.0,0.0,0.12398254241878505,4,-9.914708193315917
16,0.075,0.0,0.0,0.12398254241878505,5,-3.334100910636872
16,0.075,0.0,0.0,0.12398254241878505,6,-3.3341001350947925
16,0.075,0.0,0.0,0.12398254241878505,7,-2.010845373578615
16,0.075,0.0,0.0,0.12398254241878505,8,-2.0108447102192017
16,0.075,0.0,0.0,0.12398254241878505,9,-1.3625128325445581
16,0.075,0.0,0.0,0.12398254241878505,10,-1.3625119292794783
16,0.075,0.0,0.0,0.12398254241878505,11,-0.5905367990946471
16,0.075,0.0,0.0,0.12398254241878505,12,-0.5905362098092438
16,0.075,0.0,0.0,0.12398254241878505,13,0.5443771715075894
16,0.075,0.0,0.0,0.12398254241878505,14,0.5443778034172759
16,0.075,0.0,0.0,0.12398254241878505,15,1.4613418294502694
16,0.075,0.0,0.0,0.12398254241878505,16,1.4613420979869758
17,0.08,0.0,0.0,0.13224804524670405,1,-13.602573546763837
17,0.08,0.0,0.0,0.13224804524670405,2,-13.60257323005005
17,0.08,0.0,0.0,0.13224804524670405,3,-9.917618226373362
17,0.08,0.0,0.0,0.13224804524670405,4,-9.917617881662485
17,0.08,0.0,0.0,0.13224804524670405,5,-3.3478224198603397
17,0.08,0.0,0.0,0.13224804524670405,6,-3.34782166655525
17,0.08,0.0,0.0,0.13224804524670405,7,-2.050579699657663
17,0.08,0.0,0.0,0.13224804524670405,8,-2.0505790078070474
17,0.08,0.0,0.0,0.13224804524670405,9,-1.3723986935247463
17,0.08,0.0,0.0,0.13224804524670405,10,-1.3723978241415147
17,0.08,0.0,0.0,0.13224804524670405,11,-0.5695225133629402
17,0.08,0.0,0.0,0.13224804524670405,12,-0.5695219019847089
17,0.08,0.0,0.0,0.13224804524670405,13,0.5630160110795567
17,0.08,0.0,0.0,0.13224804524670405,14,0.5630166060642595
17,0.08,0.0,0.0,0.13224804524670405,15,1.4504739759492868
17,0.08,0.0,0.0,0.13224804524670405,16,1.4504742595658704
18,0.085,0.0,0.0,0.14051354807462307,1,-13.595711330830111
18,0.085,0.0,0.0,0.14051354807462307,2,-13.595711016049103
18,0.085,0.0,0.0,0.14051354807462307,3,-9.92075275045945
18,0.085,0.0,0.0,0.14051354807462307,4,-9.92075240818626
18,0.085,0.0,0.0,0.14051354807462307,5,-3.3625222334475495
18,0.085,0.0,0.0,0.14051354807462307,6,-3.362521509913145
18,0.085,0.0,0.0,0.14051354807462307,7,-2.0897837408621336
18,0.085,0.0,0.0,0.14051354807462307,8,-2.089783023636859
18,0.085,0.0,0.0,0.14051354807462307,9,-1.3830103025710443
18,0.085,0.0,0.0,0.14051354807462307,10,-1.383009476768375
18,0.085,0.0,0.0,0.14051354807462307,11,-0.5502375394317858
18,0.085,0.0,0.0,0.14051354807462307,12,-0.5502369159285223
18,0.085,0.0,0.0,0.14051354807462307,13,0.5822443048595174
18,0.085,0.0,0.0,0.14051354807462307,14,0.5822448557479067
