k_index,band_10_eV,band_11_eV,direct_gap_eV
50,-2.13247647174,-0.351343865597,1.78113260615
51,-2.16778605593,0.0326624048486,2.20044846078
52,-2.13247619506,-0.351346863045,1.78112933202
53,-2.1413512658,-0.60323792843,1.53811333737
54,-2.41324062799,-0.250065093692,2.16317553429
55,-2.74774579111,0.15206629343,2.89981208454
56,-3.02437536389,-0.0267266896597,2.99764867423
57,-3.15301356727,-0.162664910407,2.99034865686
58,-3.02437617621,-0.0267253488741,2.99765082734
59,-2.74774602233,0.152067886557,2.89981390889
60,-2.41323973377,-0.250062983813,2.16317674996
61,-2.37831022928,-0.423511788315,1.95479844096
62,-2.41324176466,-0.250062063462,2.1631797012
63,-2.45742183563,0.14061135482,2.59803319045
64,-2.4574212028,0.140610178065,2.59803138086
65,-2.41324077464,-0.250065082402,2.16317569224
66,-2.37831021188,-0.423515350059,1.95479486182
67,-2.60474329132,-0.0839627945956,2.52078049672
68,-2.88621332958,0.147048367442,3.03326169702
69,-3.02437535941,-0.0267267148082,2.9976486446
70,-3.02437639657,-0.0267260273839,2.99765036919
71,-2.88621476167,0.147050032157,3.03326479383
72,-2.60474350289,-0.0839600798521,2.52078342304
73,-2.46536578222,-0.317320806271,2.14804497595
74,-2.60474436446,-0.0839595972088,2.52078476726
75,-2.74774746462,0.152067737323,2.89981520194
76,-2.76981935202,0.177230835811,2.94705018783
77,-2.74774600834,0.152066128628,2.89981213697
78,-2.6047434355,-0.0839628467441,2.52078058876
79,-2.4653655601,-0.317324631851,2.14804092825
80,-2.60474327715,-0.083962756709,2.52078052044
81,-2.74774575875,0.15206630733,2.89981206608
82,-2.76981910884,0.177230838632,2.94704994747
83,-2.74774728711,0.152067556207,2.89981484332
84,-2.60474427858,-0.0839597273091,2.52078455127
85,-2.37831025732,-0.42351184584,1.95479841148
86,-2.60474359081,-0.0839600505194,2.52078354029
87,-2.88621488793,0.147050037113,3.03326492504
88,-3.02437659396,-0.0267260706782,2.99765052328
89,-3.02437560916,-0.0267268256432,2.99764878352
90,-2.88621355289,0.147048151895,3.03326170478
91,-2.60474343508,-0.083962790575,2.5207806445
92,-2.37831021035,-0.423515285474,1.95479492487
93,-2.41324059761,-0.250065042424,2.16317555518
94,-2.45742095546,0.140610121225,2.59803107669
95,-2.45742162288,0.140610989301,2.59803261218
96,-2.41324165724,-0.250062272053,2.16317938518
97,-2.14135065381,-0.603234723623,1.53811593018
98,-2.41323983658,-0.250062985188,2.16317685139
99,-2.74774609927,0.152067804076,2.89981390335
100,-3.02437625534,-0.0267254415421,2.9976508138
101,-3.15301369929,-0.162665002184,2.9903486971
102,-3.02437552927,-0.0267268267029,2.99764870257
103,-2.7477459489,0.152066175218,2.89981212412
104,-2.41324074357,-0.250064992674,2.1631757509
105,-2.14135123576,-0.603237877457,1.5381133583
106,-2.13247599131,-0.351346927178,1.78112906413
107,-2.16778583407,0.0326620573894,2.20044789146
108,-2.13247634277,-0.351344138204,1.78113220457
109,-1.83970674291,-0.656199697141,1.18350704577
110,-2.1324738483,-0.351345124341,1.78112872396
111,-2.45741986798,0.140610773855,2.59803064183
112,-2.76981870474,0.17723231742,2.94705102216
113,-3.02437617651,-0.0267254070036,2.9976507695
114,-3.0243763759,-0.0267260446883,2.99765033121
115,-2.76981918219,0.177230754667,2.94704993686
116,-2.45742107838,0.140610172757,2.59803125113
117,-2.13247610446,-0.351346831493,1.78112927297
118,-1.83970841834,-0.656203226355,1.18350519198
