q1,q2,q3,kx_inv_A,ky_inv_A,kz_inv_A,omega_z_A2,flux_rad
-0.375,0.45833333333333337,0.0,-0.7428960166694646,1.4773608523693889,0.0,4.537349,0.14279157549691118
-0.29166666666666674,-0.45833333333333337,0.0,-0.5778080129651393,-0.7148520253400269,0.0,3.141332,0.09885855054104567
-0.29166666666666674,-0.375,0.0,-0.5778080129651393,-0.5242248185826862,0.0,2.001032,0.06297300734409789
-0.29166666666666674,-0.29166666666666674,0.0,-0.5778080129651393,-0.333597611825346,0.0,-0.0,-0.0
-0.29166666666666674,-0.20833333333333337,0.0,-0.5778080129651393,-0.14297040506800535,0.0,-2.479743,-0.07803816937983767
-0.29166666666666674,-0.125,0.0,-0.5778080129651393,0.047656801689335226,0.0,-3.350875,-0.1054529242831469
-0.29166666666666674,-0.04166666666666674,0.0,-0.5778080129651393,0.23828400844667555,0.0,-1.246387,-0.039224129201626025
-0.29166666666666674,0.041666666666666664,0.0,-0.5778080129651393,0.4289112152040162,0.0,1.135605,0.035737790302700946
-0.29166666666666674,0.125,0.0,-0.5778080129651393,0.6195384219613567,0.0,2.687114,0.08456418970632566
-0.29166666666666674,0.20833333333333331,0.0,-0.5778080129651393,0.8101656287186971,0.0,4.044866,0.12729300497138069
-0.29166666666666674,0.2916666666666667,0.0,-0.5778080129651393,1.0007928354760378,0.0,9.162032,0.2883315751186687
-0.29166666666666674,0.375,0.0,-0.5778080129651393,1.191420042233378,0.0,12.233671,0.384996868480003
-0.29166666666666674,0.45833333333333337,0.0,-0.5778080129651393,1.3820472489907187,0.0,5.755717,0.1811339393430735
-0.20833333333333337,-0.45833333333333337,0.0,-0.41272000926081376,-0.8101656287186972,0.0,3.43707,0.10816550377614077
-0.20833333333333337,-0.375,0.0,-0.41272000926081376,-0.6195384219613566,0.0,3.585695,0.1128427719140399
-0.20833333333333337,-0.29166666666666674,0.0,-0.41272000926081376,-0.4289112152040163,0.0,2.479743,0.07803816937983767
-0.20833333333333337,-0.20833333333333337,0.0,-0.41272000926081376,-0.23828400844667566,0.0,0.0,0.0
-0.20833333333333337,-0.125,0.0,-0.41272000926081376,-0.04765680168933509,0.0,-2.152233,-0.06773134288467642
-0.20833333333333337,-0.04166666666666674,0.0,-0.41272000926081376,0.14297040506800524,0.0,-1.302018,-0.04097485151469224
-0.20833333333333337,0.041666666666666664,0.0,-0.41272000926081376,0.3335976118253459,0.0,1.401925,0.044118951281575926
-0.20833333333333337,0.125,0.0,-0.41272000926081376,0.5242248185826864,0.0,3.383968,0.10649436976329826
-0.20833333333333337,0.20833333333333331,0.0,-0.41272000926081376,0.7148520253400269,0.0,3.55251,0.11179843116950712
-0.20833333333333337,0.2916666666666667,0.0,-0.41272000926081376,0.9054792320973675,0.0,4.044866,0.12729300497138069
-0.20833333333333337,0.375,0.0,-0.41272000926081376,1.096106438854708,0.0,6.397164,0.20132044642634334
-0.20833333333333337,0.45833333333333337,0.0,-0.41272000926081376,1.2867336456120486,0.0,5.024051,0.15810821642038825
-0.125,-0.45833333333333337,0.0,-0.2476320055564882,-0.9054792320973675,0.0,2.614133,0.08226745829524397
-0.125,-0.375,0.0,-0.2476320055564882,-0.7148520253400268,0.0,3.016037,0.09491548368595353
-0.125,-0.29166666666666674,0.0,-0.2476320055564882,-0.5242248185826865,0.0,3.350875,0.1054529242831469
-0.125,-0.20833333333333337,0.0,-0.2476320055564882,-0.333597611825346,0.0,2.152233,0.06773134288467642
-0.125,-0.125,0.0,-0.2476320055564882,-0.14297040506800537,0.0,-0.0,-0.0
-0.125,-0.04166666666666674,0.0,-0.2476320055564882,0.04765680168933495,0.0,-0.550649,-0.01732906996041051
-0.125,0.041666666666666664,0.0,-0.2476320055564882,0.23828400844667563,0.0,1.000742,0.0314936159519424
-0.125,0.125,0.0,-0.2476320055564882,0.4289112152040161,0.0,3.123271,0.09829016608460432
-0.125,0.20833333333333331,0.0,-0.2476320055564882,0.6195384219613566,0.0,3.383967,0.10649433829303326
-0.125,0.2916666666666667,0.0,-0.2476320055564882,0.8101656287186972,0.0,2.687114,0.08456418970632566
-0.125,0.375,0.0,-0.2476320055564882,1.0007928354760376,0.0,3.030965,0.09538527180210195
-0.125,0.45833333333333337,0.0,-0.2476320055564882,1.1914200422333783,0.0,3.341942,0.10517180040576522
-0.04166666666666674,-0.45833333333333337,0.0,-0.08254400185216289,-1.0007928354760376,0.0,1.030198,0.032420604078233106
-0.04166666666666674,-0.375,0.0,-0.08254400185216289,-0.810165628718697,0.0,0.968389,0.03047545846790237
-0.04166666666666674,-0.29166666666666674,0.0,-0.08254400185216289,-0.6195384219613568,0.0,1.246387,0.039224129201626025
-0.04166666666666674,-0.20833333333333337,0.0,-0.08254400185216289,-0.4289112152040161,0.0,1.302018,0.04097485151469224
-0.04166666666666674,-0.125,0.0,-0.08254400185216289,-0.23828400844667552,0.0,0.550649,0.01732906996041051
-0.04166666666666674,-0.04166666666666674,0.0,-0.08254400185216289,-0.04765680168933521,0.0,0.0,0.0
-0.04166666666666674,0.041666666666666664,0.0,-0.08254400185216289,0.14297040506800546,0.0,0.142392,0.004481113976058747
-0.04166666666666674,0.125,0.0,-0.08254400185216289,0.333597611825346,0.0,1.000742,0.0314936159519424
-0.04166666666666674,0.20833333333333331,0.0,-0.08254400185216289,0.5242248185826864,0.0,1.401925,0.044118951281575926
-0.04166666666666674,0.2916666666666667,0.0,-0.08254400185216289,0.714852025340027,0.0,1.135605,0.035737790302700946
-0.04166666666666674,0.375,0.0,-0.08254400185216289,0.9054792320973674,0.0,1.023047,0.032195560213108695
-0.04166666666666674,0.45833333333333337,0.0,-0.08254400185216289,1.0961064388547082,0.0,1.246218,0.03921881072683844
0.041666666666666664,-0.45833333333333337,0.0,0.08254400185216274,-1.096106438854708,0.0,-1.246219,-0.039218842197103455
0.041666666666666664,-0.375,0.0,0.08254400185216274,-0.9054792320973674,0.0,-1.023044,-0.032195465802313646
0.041666666666666664,-0.29166666666666674,0.0,0.08254400185216274,-0.7148520253400271,0.0,-1.135605,-0.035737790302700946
0.041666666666666664,-0.20833333333333337,0.0,0.08254400185216274,-0.5242248185826864,0.0,-1.401925,-0.044118951281575926
0.041666666666666664,-0.125,0.0,0.08254400185216274,-0.33359761182534586,0.0,-1.000742,-0.0314936159519424
0.041666666666666664,-0.04166666666666674,0.0,0.08254400185216274,-0.14297040506800554,0.0,-0.142392,-0.004481113976058747
0.041666666666666664,0.041666666666666664,0.0,0.08254400185216274,0.04765680168933512,0.0,-0.0,-0.0
0.041666666666666664,0.125,0.0,0.08254400185216274,0.23828400844667563,0.0,-0.550648,-0.01732903849014549
0.041666666666666664,0.20833333333333331,0.0,0.08254400185216274,0.4289112152040161,0.0,-1.302018,-0.04097485151469224
0.041666666666666664,0.2916666666666667,0.0,0.08254400185216274,0.6195384219613567,0.0,-1.246387,-0.039224129201626025
0.041666666666666664,0.375,0.0,0.08254400185216274,0.810165628718697,0.0,-0.968386,-0.03047536405710732
0.041666666666666664,0.45833333333333337,0.0,0.08254400185216274,1.0007928354760378,0.0,-1.030197,-0.032420572607968094
