k_index,kx_fractional,ky_fractional,kz_fractional,path_distance_inv_A,photon_energy_eV,left_spectrum_au,right_spectrum_au,selectivity,selectivity_is_resolved
2,0.31883739130434785,0.6376814782608696,0.0,0.05742194304395149,1.09,0.0,0.0,,0
2,0.31883739130434785,0.6376814782608696,0.0,0.05742194304395149,1.1,0.0,0.0,,0
2,0.31883739130434785,0.6376814782608696,0.0,0.05742194304395149,1.11,0.0,0.0,,0
2,0.31883739130434785,0.6376814782608696,0.0,0.05742194304395149,1.12,0.0,0.0,,0
2,0.31883739130434785,0.6376814782608696,0.0,0.05742194304395149,1.13,0.0,0.0,,0
2,0.31883739130434785,0.6376814782608696,0.0,0.05742194304395149,1.14,0.0,0.0,,0
2,0.31883739130434785,0.6376814782608696,0.0,0.05742194304395149,1.15,0.0,0.0,,0
2,0.31883739130434785,0.6376814782608696,0.0,0.05742194304395149,1.16,0.0,0.0,,0
2,0.31883739130434785,0.6376814782608696,0.0,0.05742194304395149,1.17,0.0,0.0,,0
2,0.31883739130434785,0.6376814782608696,0.0,0.05742194304395149,1.18,0.0,0.0,,0
2,0.31883739130434785,0.6376814782608696,0.0,0.05742194304395149,1.19,0.0,0.0,,0
2,0.31883739130434785,0.6376814782608696,0.0,0.05742194304395149,1.2,0.0,0.0,,0
2,0.31883739130434785,0.6376814782608696,0.0,0.05742194304395149,1.21,0.0,0.0,,0
2,0.31883739130434785,0.6376814782608696,0.0,0.05742194304395149,1.22,0.0,0.0,,0
2,0.31883739130434785,0.6376814782608696,0.0,0.05742194304395149,1.23,0.0,0.0,,0
2,0.31883739130434785,0.6376814782608696,0.0,0.05742194304395149,1.24,0.0,0.0,,0
2,0.31883739130434785,0.6376814782608696,0.0,0.05742194304395149,1.25,0.0,0.0,,0
2,0.31883739130434785,0.6376814782608696,0.0,0.05742194304395149,1.26,0.0,0.0,,0
2,0.31883739130434785,0.6376814782608696,0.0,0.05742194304395149,1.27,0.0,0.0,,0
2,0.31883739130434785,0.6376814782608696,0.0,0.05742194304395149,1.28,0.0,0.0,,0
2,0.31883739130434785,0.6376814782608696,0.0,0.05742194304395149,1.29,0.0,0.0,,0
2,0.31883739130434785,0.6376814782608696,0.0,0.05742194304395149,1.3,0.0,0.0,,0
2,0.31883739130434785,0.6376814782608696,0.0,0.05742194304395149,1.31,0.0,0.0,,0
2,0.31883739130434785,0.6376814782608696,0.0,0.05742194304395149,1.32,0.0,0.0,,0
2,0.31883739130434785,0.6376814782608696,0.0,0.05742194304395149,1.33,0.0,0.0,,0
2,0.31883739130434785,0.6376814782608696,0.0,0.05742194304395149,1.34,0.0,0.0,,0
2,0.31883739130434785,0.6376814782608696,0.0,0.05742194304395149,1.35,0.0,0.0,,0
2,0.31883739130434785,0.6376814782608696,0.0,0.05742194304395149,1.36,0.0,0.0,,0
2,0.31883739130434785,0.6376814782608696,0.0,0.05742194304395149,1.37,0.0,0.0,,0
2,0.31883739130434785,0.6376814782608696,0.0,0.05742194304395149,1.38,0.0,0.0,,0
2,0.31883739130434785,0.6376814782608696,0.0,0.05742194304395149,1.39,0.0,0.0,,0
2,0.31883739130434785,0.6376814782608696,0.0,0.05742194304395149,1.4,0.0,0.0,,0
2,0.31883739130434785,0.6376814782608696,0.0,0.05742194304395149,1.41,0.0,0.0,,0
2,0.31883739130434785,0.6376814782608696,0.0,0.05742194304395149,1.42,0.0,0.0,,0
2,0.31883739130434785,0.6376814782608696,0.0,0.05742194304395149,1.43,0.0,0.0,,0
2,0.31883739130434785,0.6376814782608696,0.0,0.05742194304395149,1.44,0.0,0.0,,0
2,0.31883739130434785,0.6376814782608696,0.0,0.05742194304395149,1.45,0.0,0.0,,0
2,0.31883739130434785,0.6376814782608696,0.0,0.05742194304395149,1.46,0.0,0.0,,0
2,0.31883739130434785,0.6376814782608696,0.0,0.05742194304395149,1.47,0.0,0.0,,0
2,0.31883739130434785,0.6376814782608696,0.0,0.05742194304395149,1.48,0.0,0.0,,0
2,0.31883739130434785,0.6376814782608696,0.0,0.05742194304395149,1.49,0.0,0.0,,0
2,0.31883739130434785,0.6376814782608696,0.0,0.05742194304395149,1.5,0.0,0.0,,0
2,0.31883739130434785,0.6376814782608696,0.0,0.05742194304395149,1.51,0.0,0.0,,0
2,0.31883739130434785,0.6376814782608696,0.0,0.05742194304395149,1.52,0.0,0.0,,0
2,0.31883739130434785,0.6376814782608696,0.0,0.05742194304395149,1.53,0.0,0.0,,0
